itemId,title,price
B0000223SI,"PORTER-CABLE Sandpaper Roll, Adhesive-Backed, 4 1/2-Inch X 10-Yard, 80-Grit (740000801)",CDN$ 29.89
B0000224MY,Qualcraft 2601 Wall Jack,CDN$ 274.56
B00002N630,"Eureka Boss Upright Vacuum, 1934B",
B00002N6FE,"3M Garnet Sandpaper, 9-Inch x 11-Inch, Assorted-Grit, 5-Sheet",CDN$ 7.75
B00002NC3K,"Rubbermaid FG263100GRAY Commercial Round Brute Container Lid, Gray 32 Gallon",CDN$ 17.99
B00002ND6L,Dap 18152 10.1-Ounce Acrylic Latex Caulk with Silicone (White),CDN$ 22.49
B00004R9U1,B&C Eagle A3X131/22 Round Head 3-Inch X 0.131 X 22 Degree Bright Smooth Shank Plastic Collated Framing Nails (500 Per Box),CDN$ 26.00
B00004R9TU,B&C Eagle A238X113/22 Round Head 2-3/8-Inch X 0.113 X 22 Degree Bright Smooth Shank Plastic Collated Framing Nails (500 Per Box),CDN$ 25.95
B00004RHAO,DEWALT DW4930 4-Inch by 5/8-Inch-11 Full Cable Twist Wire Wheel/Carbon Steel .020-Inch,CDN$ 22.15
B00004T7W2,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,CDN$ 19.56
B00004XSFM,"iDesign Orbinni Over The Door Valet Hook for Coats, Hats, Robes, Towels, Sweaters, Perfect for Bedroom, Bathrooms and Mudroom Closets, 1 Hook with 4 Slots for Clothing Hangers, Chrome",CDN$ 12.55
B00004YYD2,Dico 541-786-21/2 Nyalox Cup Brush 21/2-Inch Blue 240 Grit,CDN$ 29.45
B00004Z2HR,"Arrow Fastener 259 Genuine T25/T2025 9/16-Inch Staples, 1,000-Pack",CDN$ 4.47
B00007GD5K,"ARM & HAMMER Spinbrush Pro Series Daily Clean Battery Powered Toothbrush, Medium Bristles, Assorted Colours",CDN$ 8.98
B00009YUMG,"Malco FCG2 1-1/4-Inch Overlap 5/16-Inch Thickness Fiber Cement Siding Gauge, 2-Pack",CDN$ 47.86
B0000AN3UB,Slim Guide Skinfold Caliper in Black with Booklet,CDN$ 27.95
B0000CBIFC,"Frost King R534H Sponge Rubber Foam Tape 5/16-Inch, Black",CDN$ 4.59
B0000DD0VA,"Grizzly G9849 Magnetic Base/Dial Indicator Combo, President's Special",CDN$ 117.97
B0000DD5H1,"Kreg SML-C125-100 1-1/4-Inch 8-Coarse Washer-Head Pocket Screws, 100-Count",CDN$ 6.99
B0000DI7WZ,"GE GE5060 Silicone II Bath Sealant, 10.1-Ounce Cartridge (Almond)",
B0000V0720,"Quakehold! 22111 Gel for Glass and Crystal, Clear",CDN$ 18.45
B0000VM44Y,"Wilton Plastic Dowel Rod, Pack of 4",CDN$ 9.73
B0000YHN9W,Extech 480172 AC Line Splitter,CDN$ 21.57
B0000ZLMJI,"CRAWFORD PRODUCTS 36360-6 Crawford-Lehigh Ultra Hold Eight-Hook Tool Rack, 36 by 5-Inch, Silver",CDN$ 68.61
B0001AF162,"Shop-Vac 905-26 Foam Sleeve, Small",CDN$ 6.19
B0001EJIXK,"Silica Gel SG40 40 Gram Unit, Pink",CDN$ 41.09
B00027GRJO,"BOSTITCH RH-S10D131EP Round Head 3-Inch by .131-Inch by 21 Degree Plastic Collated Framing Nail (4,000 per Box)",CDN$ 117.49
B0002DKAKA,Lifegard Aquatics R270577 1-Inch Slip Bulkhead Fitting,CDN$ 9.92
B0002Q8TP0,"DEWALT DCS16200 2-Inch by 16 Gauge Finish Nail, 2,500 per Box",CDN$ 20.37
B00042K694,"Sun Company 201-F Lev-o-gage Inclinometer | USA-Made Level for Off-Road Vehicle, Jeep, Truck, RV, Camper, Trailer, or Boat",CDN$ 19.99
B0006O1ICY,J-B Weld 8276 KWIK Weld Epoxy,
B0007TYCA8,Gorilla Gripper 44010 Panel Carrier,CDN$ 79.97
B0008IVYYA,"Diagnostics Direct 0P-PBFT-BFTO Dynarex Disposable Scalpels, Sterile, Number 11 (Pack of 10)",CDN$ 21.99
B0008JIQUO,"Rust-Oleum 203373 Professional Floor Coating Kit, Silver Gray",CDN$ 384.32
B00095OGQU,"Dynarex Disposable Scalpels, Sterile, Number 10, 10/bx",CDN$ 21.95
B00095VINE,"ADC PROSPHYG 760 Pocket Aneroid Sphygmomanometer, Black, Small Adult",
B0009784NY,Honeywell L4064B2210 Fan and Limit Controller,CDN$ 185.14
B0009KMYHI,"Panasonic NN-H765BF Genius 1.6 cuft 1250 Watt Sensor Microwave w/Inverter Technology,Black",
B0009PRFYU,"Sashco 13030 10.5oz Sashco Sealants White Lexel Adhesive Caulk, 10.5-Ounce",CDN$ 45.67
B0009WG634,"Lehigh PT16 Tool and Parts Tray, Blue",CDN$ 36.98
B0009XB4O4,"Sashco 10018 10.5oz Sashco Sealants Wood Big Stretch Caulk and Seal, 10.5-Ounce",CDN$ 21.75
B000A2B0IO,Leisure Components 131-4 3-Way Low Boy Hand Water Pump,CDN$ 60.38
B000B4GTX2,"Hillman 812584 3/8X3-1/2 Carriage Bolt, 3/8 x 3-1/2-Inch, Galvanized, 50",CDN$ 39.27
B000BD6D20,PRO-LAB RA100 Radon Gas Do It Yourself Test Kit,
B000BD8MFQ,"The Hillman Group 370054 Toggle Bolt, 3/16X3-Inch, 50-Pack",CDN$ 22.24
B000BN33FU,"Kreg SML-C2-50 2-Inch Pocket Screws No.8 Coarse, Washer Head, 50 Count",CDN$ 5.93
B000BN7DLU,"Kreg SML-C250-50 2 1/2-Inch Pocket Screws No.8 Coarse, Washer Head, 50 Count",CDN$ 7.74
B000BOB18A,"3M Reflective Tape, Red, 1-Inch by 36-Inch",CDN$ 18.64
B000BQO5F4,Red Devil 0406 Kitchen & Bath Caulk Siliconized Acrylic White 10.1 oz,CDN$ 17.95
B000BQSG0E,STANLEY TRA709T 1000 Units 9/16-Inch Heavy Duty Staples,
B000BQWOC0,"M-D Building Products 71480 1/2-Inch by 20-Feet Backer Rod, Gray",CDN$ 15.34
B000BY21ZC,"Oreck Commercial PKBB12DW Super Compact Canister Advanced Filtration Disposable Bags, 12-Pack",CDN$ 20.78
B000CINVA6,CRC 5037 White Lithium Grease - 10 Wt Oz.,
B000DZBPJM,"Dap 18026 Caulk-Be-Gone Caulk Remover, 5.5-Ounce",CDN$ 41.87
B000E297FI,"Robertshaw 11-293 1/4"" Tubing with Fittings, 5"" Roll, Aluminum",CDN$ 31.65
B000E5QFIW,"ADC 609FS Adscope 609 Ultra-Lite Clinician Stethoscope, Frosted Sea Foam",
B000E5RB5S,"ADC ADSCOPE 615 Platinum Professional Clinician Stethoscope with AFD Technology, 30.5 inch, Dark Green",
B000E60U6Y,1 X Hydrometer - Triple Scale,CDN$ 15.68
B000E62TCC,Vinyl Tubing - 10 feet 5/16 ID - 7/16 OD (Food Grade),
B000EJ332O,Fluke 1AC II Volt-Alert AC Non-Contact Voltage Tester,CDN$ 54.18
B000EWY67W,Extech 407730 40 Decibel to 130 Decibel Digital Sound Level Meter,CDN$ 118.78
B000F4UOXY,"Littmann Cardiology III Stethoscope, 27-Inch, Black-Silver",
B000F4UP10,"3M Littmann Classic II Pediatric Stethoscope, Caribbean Blue Tube, 28 inch, 2119",CDN$ 129.27
B000F4UP6A,"Littmann Cardiology III Stethoscope, 27-Inch, Plum Tube, (3135)",
B000FFIJF8,Fluke Networks 26200900 PRO3000 Analog Tone Generator,
B000FKBXCE,Harvey 017065 Gas Line Teflon Thread Seal Tape,CDN$ 29.77
B000FKH3BY,"Intertape 9971 1.88-Inch by 10-Yard Double-Sided Vinyl Indoor Carpet Tape, Natural",CDN$ 10.99
B000FMUJ22,"O1 Tool Steel Sheet, Precision Ground, Annealed, 3/32"" Thickness, 2"" Width, 18"" Length",
B000GFT7FI,"KleenKover Carpet Film Temporary Carpet Protection 24"" X 200' Reverse Wind - Made in USA",
B000GG7UAG,"Smith & Nephew IV 3000 1-Hand Transparent Dressing, 100 Count",CDN$ 51.00
B000H0P9NQ,Maxsa Innovations 20031 Curb Ramp,CDN$ 76.09
B000H5QGYW,"Shepherd Hardware CA 9174 2-Inch General Duty, Cast Iron Swivel Caster, 125-lb Load Capacity",CDN$ 9.64
B000H5QVEW,"Leviton 19980-M Medium Base Interior Only, Shell Incandescent Lampholder, Pull Chain, Single Circuit, Pack of 1",CDN$ 15.00
B000H5R5M4,"Rutland Fiberglass Gasket Cement, 2.3-Ounce Tube",
B000HBM80M,"Permatex 80037 Valve Grinding Compound, 3 oz.",CDN$ 18.19
B000HE9T6A,Performix 075815116048 Blue Plasti Dip,CDN$ 35.44
B000HMOJY4,"Rutland 96N-6 Grapho-Glas Rope Gasket Replacement Kit, 1/2-Inch by 7-Feet",CDN$ 28.92
B000I1BWVW,"Shepherd Hardware 9535 2-1/8-Inch White Bed Rollers with Stem and Socket, 2-Pack",CDN$ 9.95
B000I1VB0Y,"Prime-Line Products C 1096 Sliding Door Outside Pull, Black Diecast",CDN$ 19.00
B000I24HBS,"Deflecto Worm Drive Clamp, Metal, 3"" Diameter (MC325)",CDN$ 7.57
B000IG7Z7C,"MDF® Sprague Rappaport Dual Head Stethoscope with Adult, Pediatric, and Infant convertible chestpiece - All Black (MDF767-BO)",CDN$ 47.29
B000IJYRK2,"Bare Copper Wire, Bright, 22 AWG, 0.025"" Diameter, 500' Length (Pack of 1)",CDN$ 23.51
B000ILG0TQ,"HDPE (High Density Polyethylene) Sheet, Opaque Off-White, Standard Tolerance, ASTM D4976-245, 0.125"" Thickness, 12"" Width, 24"" Length",CDN$ 20.65
B000ILJZN4,"HDPE (High Density Polyethylene) Sheet, Opaque Off-White, Standard Tolerance, ASTM D4976-245, 0.250"" Thickness, 12"" Width, 12"" Length",CDN$ 11.91
B000IXPYPA,Arrow Shed AK100 Concrete Anchor Kit,CDN$ 39.98
B000IYO97I,"Master Magnetics 7254 Magnetic Hook with Decor Hook Chrome Plate, 2.65-Inch Diameter, 0.29-Inch Thick, Silver",CDN$ 20.89
B000KE4PBQ,"Dap 00688 Household Waterproof Adhesive Sealant, 100-Percent Silicone, 2.8-Ounce Tube",CDN$ 42.30
B000KKVWF2,Simmons Mfg. 1350 Torque Arrestor [Misc.] [Misc.],CDN$ 50.23
B000KPKBOA,GUM Go-Betweens Proxabrush Refills Wide [614] 8 Each (Pack of 6),CDN$ 22.80
B000LDBECY,"Eagle 1205BEI Galvanized Steel Cigarette Butt Receptacle, 5 Gallon Capacity, 40"" Height, 12"" Diameter, Beige",CDN$ 107.55
B000LEUJU6,"Functional Devices RIB2401B Enclosed Relay, 20 Amp Spdt with 24 Vac/Dc/120 Vac Coil",CDN$ 33.12
B000LF42NK,SIEMENS WN2060U Non-Fused AC Disconnect,CDN$ 31.10
B000LN12Y4,Lee Precision Lead Ladle,CDN$ 20.68
B000LNWVJE,O-Cedar Hardwood Floor 'N More Microfiber Mop Refill,CDN$ 9.30
B000LNX6VQ,"Parker 15-60 SignaGel Tube Conductivity Gel, 60 g",CDN$ 2.60
B000LWXQ0I,"Omron H-CL22 Preformed Large Cuff 9-Inch to 17-Inch with 2 Cuff, Gray",CDN$ 51.00
B000MVJDDW,Dyson Dc14 And Dc07 Switch Assembly Vacuum Cleaner Replacement Part / Spare,CDN$ 27.04
B000N6621M,"Shepherd Hardware 9615 10-Inch Semi-Pneumatic Rubber Replacement Tire, Plastic Wheel, 1-3/4-Inch Diamond Tread",CDN$ 18.00
B000NV6YN8,WD-40 Company 10075 No-Mess Pen -0.3 fl oz (0 Quart),
B000OL8PA2,Eco-Dent Toothpowder Tartar Guard - 2 Oz,CDN$ 12.28
B000OLCD9Q,Fieldpiece ST4 Dual-Temperature Meter,CDN$ 122.99
B000OM9J2O,"Polycarbonate Tubing, 3/4"" ID x 1"" OD x 1/8"" Wall, Clear Color 24"" L",
B000OVHW24,iMBAPrice - 100 Clear Reclosable Zipper Bag. 4'' x 6'' - 2 mil. Thick by Amamax,CDN$ 16.95
B000P49BX8,SE 82331TF 30-Piece Titanium Coated Assorted Diamond Burrs,CDN$ 15.04
B000QJ3G42,Fluke Networks MS2-100 Network Cable Tester,CDN$ 682.99
B000QZ1LYS,MDF Acoustica Deluxe Lightweight Dual Head Stethoscope - Free-Parts-for-Life & Lifetime Warranty (MDF747XP-12) - Grey,CDN$ 36.96
B000RGZHFA,DuPont Teflon Silicone Lubricant,CDN$ 35.11
