userId,itemId,rate,date
AETIBOMC7PVQSQTED7YMFLH2M3AA,B0011E1FU8,5.0,2020-09-19
AG7BA7NPNFSCDMJMP4KBO35L2B3A,B002RZC8WE,1.0,2019-08-12
AH2ZIYN3NRRG2Q23UKLHGVJS75IQ,B001F7E9VI,3.0,2017-03-03
AGGJ7G4DMEUNUKNOQE3N27O5KG4A,B000LN12Y4,5.0,2019-12-11
AE6QD36TD2CC2B6JOBHROFWOKNJQ,B004H87UGS,3.0,2020-08-26
AG6QCLNN5GRPCFNSHJLRM2IDY62Q,B00F4ORTZ6,5.0,2017-02-10
AHMV2PZOOL5RLOVZMOT2RL6BUMMA,B00IIDY49E,1.0,2015-09-23
AFCGJET67YZQGLDM6R5DD37ZQ52Q,B017AJ0IAA,5.0,2019-09-16
AGQCEQ74Z6XJ2DZ7NOERUZ5P66RA,B004I1G1LO,5.0,2020-10-14
AGBWBHFKCIXQODJM5ZHDNL2UTR5Q,B01F5DWV8K,5.0,2017-10-01
AEGRR3BMTURZXTVP42KAL4XVRVBA,B01DF31DQS,5.0,2019-03-01
AHIB7YZDPLKJLX2XMRK6AKEYCACA,B000RPW2W2,5.0,2019-10-18
AHKDDGY6RRVTXOLL76XHJ7AUERLQ,B00P1N68FW,2.0,2019-12-26
AHHBSB3YR7H6BWX7ULOEAMUSLQ2A,B0000224MY,5.0,2020-04-12
AGDSTD4LOH42YLR6MCWITQNBJTOA,B00IIDY49E,4.0,2016-12-02
AEESQMAGXLTKQVTUQLPZUFQZA45A,B008UB6IKC,5.0,2019-11-23
AF3MS55DJSR6E6BFTA5J6IDW7I4Q,B00MF03VLS,4.0,2019-05-21
AGM2XHB7AW7QMV5IVXRHPZVDFUHA,B01C7CQHAK,5.0,2020-09-19
AETCG6TVLTTALN6VWNWQKGQOAINQ,B011EFY014,5.0,2018-03-28
AHDCQKTRXANU74WO7SQMKYTJAHCA,B01633H2F8,5.0,2016-08-21
AG5W767VC43W5FMCFMA7N2LDKWZA,B017JCM1WG,1.0,2017-11-14
AE2OS5OJQZXKIPNSH3MXYG63R4WQ,B005Z4QWIK,5.0,2017-01-08
AHV4PMV5OSK7PZQEO7AMVQG4KDGQ,B000GFT7FI,5.0,2017-03-23
AEMRLK7ALLWSDD6YYLG3A6HAYQTQ,B00TDBVRZO,5.0,2019-07-30
AFQN3BCPWTMBOG4TDQCNJYTO7XHA,B009ENG6TI,3.0,2020-02-21
AFFHFUE5HFNQAFFL6YMJDFHXY7TA,B00QQZSPEQ,3.0,2017-03-14
AHCYTMFMRXDNHPTWY7VR74OYX6TA,B015I1CYFE,2.0,2020-02-26
AE3CYOHPHUU6MYLSKUKXS2ILIEHA,B005FU5HFI,5.0,2017-01-27
AGLHEFSJRTOOP3VEVKSBAD2GTREQ,B00JHKTDMA,5.0,2016-02-09
AFP45CJ3U6JUIKMCW4L5FMRZS52Q,B006P3IRXS,5.0,2016-04-21
AEMTKO2K74OPUFIPTMGVSFWAT7NA,B00G773LC4,5.0,2019-06-02
AGXDH4FBVO5Z7HULPNTRF6XEDVJQ,B003HKHX3M,5.0,2016-06-09
AHUBYL5AZXT5FHXULEKJWUKRWVQQ,B005FU5HFI,5.0,2015-09-14
AFYV2RZNKHLT5JLO5QELQS7UNJCA,B006P3IRXS,1.0,2020-03-08
AFXEUSODDQYGDWWUHZDQQRAEOBGQ,B005HYCM8M,3.0,2018-01-11
AETGMCHW3646CDNXLJTG64TETYWA,B004C4WPXA,5.0,2018-06-28
AEA3W76EJZHBPGLEYPWAN733XLQQ,B00L81AA5U,5.0,2016-09-16
AEJPBPBGDLLNN2FHO7SDBXZZTAGQ,B00IIWTTSQ,1.0,2016-09-20
AEAC654JXITSV6GFWWFIEZD5MX3Q,B00S2IA3DG,5.0,2015-08-16
AFOLHPYXSIKWSDF5SVJYT4QGXI3A,B00004RHAO,5.0,2017-08-17
AFGUGSBKMT7CGR4CRFK27V2RKOIQ,B00KNNSKV0,5.0,2020-08-27
AHFCHKBG2J2RIPFV4X5WSOG2RH5A,B01F5DWV8K,2.0,2019-11-27
AEZ2MCVPU3QGL2C75IPIP3HRYIJQ,B007V5J89G,5.0,2018-07-23
AFRMVDY7VU6F62BPTXS74JYCEJSQ,B0064OFP88,5.0,2020-03-05
AGJKHO53MABUVT2GJHRTV2HSWIIA,B01633H2F8,5.0,2018-06-15
AFB4HBYK5FTU7RUCZVSJKDKL4CBQ,B010SLSK48,4.0,2020-07-26
AFIUUXTW6OFSBZIUNOM7HUH4JPNA,B00BDI6O7Q,5.0,2019-06-08
AEWHVPTVT2FQOJVQL55LKPWT3JTQ,B01E0ZAMM6,5.0,2018-06-10
AFQR3USM2T2XAMWIY3F6RGD3ZI3A,B001EHAZGW,5.0,2019-11-12
AG5AFBLGWRYQMYW4UZPUBNW3IKNQ,B0006O1ICY,5.0,2019-07-07
AH3DABYO52SBQWZDZZ74ZEBZVNGQ,B007OXK1AK,5.0,2020-03-13
AFDHTNG2PZD4CGJWZ32YUNFWV3ZQ,B006J4G45G,4.0,2017-09-17
AEMWI6JOWSKED2OTULF3NYBADKOA,B00597BBZM,5.0,2016-12-17
AEXTTK5RZ4J6NRKYFYK7LZQLXH2Q,B00H1V4EB2,5.0,2020-01-18
AGPSOTIKJJ23MJM3WVVMSE34NEZA,B00E6BD0G0,5.0,2020-01-05
AHKFHCRLBU7DAJMWK27H7A4HUVTQ,B000BQSG0E,5.0,2018-04-14
AHE4VFN2PGKMIA3AY22WFBKER57A,B00R1FYLWU,4.0,2018-10-25
AHJSKTK2QROJHQ3N2S3TJXR57KYA,B00LPSD346,5.0,2019-03-27
AHLXQSFMDEKJKOZUXP4KA3YR4PHA,B00B28Z2AC,1.0,2018-05-27
AFBEKBMAVFXNRLBYTPVH3UMRVN4A,B00004R9TU,5.0,2016-08-06
AEXT7PMYZEKLMCB7PN3TBULBHB3A,B00CJI6T4M,4.0,2014-12-27
AG255EUFNQTCAV6MC77WERCS4KHA,B0002DKAKA,5.0,2018-07-22
AEHGIML44KXGHMUEA4ST4ALVZXPA,B01B9K1VQ6,5.0,2016-04-28
AGRVWVIVOZIRJDIIHSDBUARJ5IHQ,B00FN6PBQY,5.0,2015-04-27
AFOVBMDLMY3IMK2ATAJ3ZOUZNGXQ,B000FMUJ22,5.0,2019-04-15
AFAWSRS5EZCSP4MJ64L5WF6DAXWA,B003CIP4GW,5.0,2018-07-05
AFHEUOQH6CQSCM3E7THIU3RHYDXA,B0176J6CCM,5.0,2019-07-14
