userId,itemId,rate,date
AH3L6UH3CITQ46M2LYCZYRULOAXA,B01ABXS42Q,5.0,2019-12-07
AH52ESSBNJZQGRJ5QSZOCDSGLVFQ,B000F4UP10,5.0,2018-09-06
AE2DIYNUVTRDWIBNYVA5X6MS67JQ,B001OMQK6Q,5.0,2020-05-03
AFGKJTF5PRLCWULXMXVR5ZBKSXIA,B014GVCGLE,5.0,2020-06-17
AEXTHYVUG7TZ63HDBFAZIRREZMVQ,B000JJPA66,5.0,2019-04-28
AGY6QPJ7GKN6AALEP4ALZO5FY7GA,B000JJPA66,5.0,2018-11-03
AHUQD4TFVN5EX2O7ASOKZETVEA4Q,B004I1DTIM,1.0,2018-08-21
AHUVJRG6RIQXORSEAKUFUG2WSPHQ,B000JJPA66,5.0,2018-02-24
AEBHJPPZDWR3MUVVQ6DXTSEAA24Q,B01A9KIGSI,5.0,2019-12-05
AHSTM66RW7HC4O5ILEKFC2SZ25VA,B00OUFX38W,4.0,2016-04-22
AGS256O4UYRUSNUOWMIVNXBJ2VYQ,B000J0HDUG,4.0,2014-09-26
AFBTQ5NLT6K44TERBBVEUAIWMU7Q,B00J0H6NNM,2.0,2016-08-21
AHFKCPCPKTAFU5TERQHHII3ZL3ZA,B003A3VSOG,5.0,2015-11-02
AFNZO2CGGL4GZYTGRGY3V6QTYXUA,B001HRMJ54,5.0,2020-02-11
AGIT3LFNL6T3B7NZHDTAXAAYRBWQ,B01ABXS42Q,3.0,2020-08-03
AGZKP54ZITRZODGTPZ3UMRE4OHNA,B000F4SP30,5.0,2019-01-28
AGCTXX35LQ2VUBGSIYVLAQBYWFYA,B001HRMJ54,5.0,2020-03-02
AGLQMEBJ55XUS4HT2WDS6SIK36VA,B000QZ1LZM,5.0,2019-04-11
AE3K2NLEPNIPLU5RHKZCQQHIQFEA,B007UONMJU,5.0,2020-08-16
AFBIOZMCNP35I7XSZOZEVQTLIUTA,B009346RSS,5.0,2016-08-23
AGLVLWZJUPLU67IBQSS2VKA34K4Q,B00Q4MO4C8,3.0,2017-05-26
AGBNQVBEUW6BITVNBIIF6FR7PZRA,B00PPMU3XM,5.0,2015-09-20
AFL6DIMMQM5J7MYC7CTQ64QUCYPA,B01GZFQM3M,4.0,2017-05-16
AFR53MJKVE4TYYST7JKK5GGTZLCQ,B00CHEZ250,5.0,2015-12-05
AGABBDE6RHMDOIDF2S7GDUJUY45Q,B003CYBF5K,4.0,2016-04-01
AFLXLBDVBVKDSCRNIAVF3DIFFERQ,B01A9KIGSI,5.0,2019-05-31
AEY6RFCYETXBSP3NITQHEENUD6OA,B007UONMJU,5.0,2015-08-26
AEJYRAR5L7KJK34JWSG75CQH5NNA,B010Y25QZ2,5.0,2020-07-12
AGIMDRWSLZLGCNI35IM3W7WC4UDQ,B0013ND6PE,3.0,2015-02-16
AHOS7ECVOGESGKWF4O7GPLZL7FQA,B000JJPA66,5.0,2018-02-19
AHEEPYZC4CRQDMMODPVCSIB2CPIA,B00KNNSKV0,4.0,2020-02-04
AHAFHSRQN6TYL5OKGIXWK5WBURYA,B00IG46NL2,1.0,2017-10-29
AEPEBWGZ3I3X4ZAVFFTW3ZXS4YYA,B00KNNSKV0,5.0,2018-01-04
AH7KTIKATSKVTNIGU47DRQK4OQKA,B0147RA2PY,4.0,2018-06-10
AEHQJEXUIFZ2RE5VUNVIBJXOJTWQ,B004I1DTIM,5.0,2016-02-28
AFN7LB3BN2Z5OL44UCZNMBDPKGVA,B00C66KT6Q,5.0,2018-10-11
AFLWYPKDBYS2YKEUETDDBSNZP5CA,B007UONMJU,5.0,2015-12-07
AFFZYNNAY3FKNMVNFQVVYSHFN2KA,B007UONMJU,5.0,2017-06-25
AEYLDEP5HM4VATL5IK3KTWFFHRSA,B004I1G1LO,1.0,2018-09-12
AETKEPYKESPPVPZUEYPF3MZHPJVA,B018XJ0JXC,4.0,2018-12-28
AFFO2CGO37FGQGHBNR2DJQQBLD6A,B01A9KIGSI,5.0,2020-01-05
AEFG4HSO76GQOQXA5UVRXCSO54HA,B00OCG91IK,1.0,2015-03-11
AF2R4JBQINI5HY7KUIMHYHBEHP6Q,B006Z6YWIO,5.0,2016-03-21
AGFIWBK73XAQ2XPEQZF6YG4WR3UQ,B00022749Q,1.0,2020-09-28
AGOZB5CICOTI67ZEI4NQRGTSMOEA,B00ZF7AHF6,5.0,2019-09-23
AHLMHE2XB3AJXO7EHBDKUYUXUZFQ,B004I1DTIM,5.0,2016-08-12
AHUX3U4ZDVHXYFJOXUO5ST7SPFLQ,B01HAXUE9G,5.0,2019-03-12
AFWNGYI4QBGOLD2HTHRYTWK2T3SA,B00M0CS1FC,1.0,2017-03-27
AHPAG5IFDMORHSP64CR3ZDVXRIMQ,B001EHAZGW,5.0,2015-01-28
AGJOFSBFKSEI2GMXVOZOSZYONGCQ,B009346RSS,5.0,2014-09-24
AFOK4ZPNQ6YV537T4VXSUAPNGQFA,B01GZFQM3M,1.0,2018-05-03
AFNI2IGZ5W7XX45VRULAHD4SR6BQ,B001HRMJ54,1.0,2019-09-24
AE5OKWDNNLQTMFEMW6EGAMWDQB2A,B00MJVQR7I,5.0,2019-10-30
AE4N527JJI74EIPAZRKT7FZHLVMQ,B00KNNSKV0,5.0,2018-11-28
AEZ4FFV4BNNCEKH2MOYI3KNWSJOA,B00OUFX38W,5.0,2017-04-17
AFCAZCU7SD2CSDXDDR3J4ESYHMUA,B00C66KT6Q,2.0,2018-09-30
AEQZSEMF4ICHSD4LVN52QUMQOK7Q,B004I1G1LO,5.0,2018-10-21
AGDDC3GQ2CDIFKOFZRHGFSY3FAVA,B006Z6YWIO,2.0,2016-01-20
AHPNSFVALJ5WNDNC2NG2WZZ33N4Q,B00064GSOC,2.0,2015-04-24
AE6FIKYOGJSIGUSTEFJ2J66ZRVQQ,B01ABXS42Q,5.0,2017-08-01
AEDKNS7I45TZNOTFW75XCQLXOXIQ,B01ABXS42Q,5.0,2020-09-24
AF3ZTOD6SYXRGM4WTL3HRZYHNSXQ,B00Q4MO4C8,4.0,2017-06-10
AGMW53MM4T54HHV7F5PMRJOFNWGQ,B001HRMJ54,5.0,2020-01-04
AECFELSKIEJFWQZRABNMSWG2D3QA,B00IRBMOBM,4.0,2019-01-13
AFNQP5RI24SDAADIIIK5TXUA762Q,B000F4W1GW,5.0,2014-12-25
AGZ4XKR54BW5ANSGDZ2MAIBCM7ZA,B00C66KT6Q,1.0,2017-01-22
AGSOVT426OMDYK7BVSCGRZL55FYQ,B00C7U17US,5.0,2013-11-16
AFZWM4AU42RANSJP2INIWG3O3FAQ,B00KNNSKV0,1.0,2018-12-04
AGCZF4MXM6UHGY6P27KP46ZA5ZJQ,B00022749Q,5.0,2019-09-12
AF66A5QJZDRSCWVPRD3PUI57TBFA,B01ABXS42Q,4.0,2020-10-08
AEA5HEAYAZACZVK3JEDJ3ZLMKOEQ,B00CWQLV1M,5.0,2018-08-23
AG2TU4C6WOPUYKVXUXAZLEVJEPRQ,B00KNNSKV0,5.0,2017-12-03
AGFUCTAJ7CVRSOBNTVGLUJ2RLHAQ,B010SLSK48,5.0,2017-09-29
AFQINE6MB47PMZ2NC5UGM5CWD2KQ,B007UONMJU,5.0,2020-07-17
AGXNNJ27P4KAJE6EKPKOZWP3WKTQ,B004QEZ2U4,5.0,2016-05-17
AER7PFONQXDBOMNSQZEYQZORIKNA,B00CHEZ250,5.0,2017-10-26
AF3CM5CZENQNEJ7RBYMBKASLA6PQ,B019VSI9S6,4.0,2016-04-26
AGBORSV2S4UA73TXNVTMIAXKUTAQ,B004I1G1LO,5.0,2015-07-12
AF4Q7SIYLS6FDKAGUPH2HQJRYTQQ,B017XGEDOM,2.0,2018-07-26
AEKOOO5HUFRTKQYSK7UL52P3KFIQ,B01GZFQM3M,1.0,2018-02-22
AF2HLNNDRGMCGY7T6VSHSKOOGJNQ,B0011E1FU8,5.0,2018-10-05
AEZL4OJEP3LZGYAVFDHHYIZFXTMA,B01GZFQM3M,5.0,2018-02-01
AGZQ5YZFQRXVWPH3PKSSKRFBN7HQ,B000J0HDUG,5.0,2016-08-21
AH5OKSMF2B3DP4HSUT2JS2NIKEHA,B010Y25QZ2,5.0,2017-05-14
AFJKKIZAJ6KWSAVBBGXQMP4OCK5A,B009346RSS,5.0,2017-04-14
AGFSXAYTEPQTSWRIOPMK5USLDLQA,B0092JSK1Q,5.0,2017-07-24
AHG32C3IVEQESKZI5MECYQ5Z6SOQ,B002WJHEHY,5.0,2016-08-19
AHUHLYF7UBJL5NO7BOSR2DEZQW5A,B01HAXUE9G,3.0,2019-12-04
AHOOQMUJGADTBTGTECAUBRTQ7AVQ,B00MN5X2YG,1.0,2020-07-12
AHGOXQUZK7CWWAER6DEQ77EASQMQ,B000QZ1LZM,4.0,2018-08-27
AFFWNYZOJQQBWPZOBTSPF5NB6WSQ,B00J5DZJGI,5.0,2018-01-29
AGIR5WYQDEI4UHKS5EPJ6G34IIYA,B00ZF7AHF6,4.0,2018-07-04
AG3OXOIMGQ2DRA3ODUYQOQCTZWHA,B00Q4MO4C8,5.0,2017-07-31
AFUPFOSKSQKYX4JG5IGO4MTVQZNQ,B01A9KIGSI,5.0,2019-10-30
AE4QC5B7TMA7NFHCM26LF5ZBTRNA,B01CWYERMS,5.0,2019-06-23
AGKSRPDY5GQPXFBQPCSERXL26UEQ,B00BKVPU08,5.0,2018-12-29
AH4IQM4REBIKP7BQY3TECMKAY5SQ,B0043YHD4A,1.0,2020-01-16
AHDPK3CXSI3DUKQKZBOEXQYFSFJQ,B005AIQQEQ,5.0,2019-03-26
AEVK4NRJ4QFDGILGPMJBWUAGCMBQ,B000JJPA66,5.0,2013-06-29
AH2NW726FYO6NCAXDODYWODR6AQQ,B00CWQLV1M,5.0,2014-09-24
AEJM2NDUTLRSVSJDAG6KOBUCQX4A,B000JJPA66,5.0,2018-03-22
AG3HEWSS7HZHQCMMKU6MEHBFFLTQ,B001HRMJ54,4.0,2019-08-16
AHJRXNKU4HM3Y5SPQJN42MRCMT7A,B000F4OYEE,5.0,2020-01-15
AEF66IOOYXPPQJSJJ2LXFHDNVD4A,B007UONMJU,5.0,2017-07-27
AGAWONYZGL4G2O6ZD7IEHHWDVIHA,B009346RSS,5.0,2015-07-23
AGFQF6OA4TPAIATDYWRVGLKR5XXQ,B000J0HDUG,3.0,2018-06-10
AG5D5APWU56JD5M3AOE6GCDMJLXQ,B00022749Q,5.0,2017-10-07
AHJ43WPVSGJUBJNRUXVZBV2ED3YQ,B007UONMJU,5.0,2019-06-25
