userId,itemId,rate,date
AHNWYYQ2BXWIOJ5BXTDFFGFSVFXQ,B00EME5KZ0,5.0,2013-05-06
AG7KLDFR47AYWOWDTK27W7B7SHLA,B01ABXS42Q,5.0,2020-01-20
AHAPVDSTC6UJ6C6YHCLCMM4FE35Q,B00KNNSKV0,5.0,2019-12-15
AFDE6ZMIB2I5HEBWNXXTRTZYURGQ,B00Y8T9YZG,2.0,2020-09-18
AGUPHA66XY3HVEIICPVAIWJPTA2Q,B00ADEJVXK,5.0,2016-07-24
AED73HXECVZACBQWLO6XBIC274UA,B00IN8TJYY,3.0,2018-05-08
AEPFOVOVXV7CWM4XKV7VPYIVUJAQ,B000EJ332O,5.0,2020-06-11
AHTKORQ5GUFSRMZPSXJ6T5KSIPSQ,B005DNQX3C,5.0,2020-08-12
AHXJVIR34GMA7UVZBPXYELJ4RMSQ,B01ABXS42Q,1.0,2017-08-01
AH5BVUXPTXBXNA6QVJWIEU6M2Z6A,B000JJPA66,1.0,2018-08-22
AGWXAZGDNUITPP5G67ENWQY2YESQ,B000JJPA66,4.0,2017-11-25
AHXBYRULPRGJ7OSFUPZWQEJNYPVA,B00EME5KZ0,5.0,2013-08-02
AH4SDTC5TGAB6DLE4ICMBYAI7FJQ,B01ABXS42Q,5.0,2019-08-28
AGFPD7ISP7DMHYHYL5NOFZJMKRWQ,B00OUFX38W,4.0,2016-07-11
AFLOGPPEP32KQXCT4DZ4AHJICCBQ,B001OMQK6Q,5.0,2020-05-31
AHJ566W2LQJ2HL5M2KMBNHHJBNUQ,B01A9KIGSI,5.0,2019-01-30
AFCZDRJOP5CRBX57F3N7IKO7DJHA,B00PPMU3XM,4.0,2016-01-03
AEVHOT5UYPWBMP43UO7F5VQLLR5A,B00J5DZJJU,4.0,2016-03-01
AERX3NJG72I4PII5E7NG2K6M7KDA,B00CKL70LO,4.0,2014-09-05
AHPWXRPTOUNSINJ6CM3EJC5W75HQ,B018RDZ3HG,5.0,2020-08-11
AE6XM7W6FQ62BEA7ICXPZLI4J4ZQ,B01ABXS42Q,2.0,2018-01-15
AHP4MQ3H5GLPAG7CJQ6JKOYAXFSQ,B01A9KIGSI,5.0,2018-04-06
AHYNL7XP3XRYIJJWCRN4P2HJXHCA,B00KNNSKV0,5.0,2018-08-09
AHQCCT37DUL3R2ZOJTFGE6IQXB4Q,B01ABXS42Q,5.0,2020-07-12
AHUAFTN6EY25IBCAYGAGCHDQUYHQ,B00KNNSKV0,3.0,2016-10-11
AEIGFRGKRPXORWCCXRZQZF5SFZZQ,B00J5DZJJU,3.0,2015-05-09
AEEGXN6RLT7AUIANSMSQYU3BFI2A,B00H3CY93C,4.0,2018-09-20
AEUB2NZ3PBVEILGP5SH7W6RLMK6Q,B015FK1EH2,4.0,2019-11-07
AHXBWMQQU45WOM5CDBA6HPEHESXQ,B00KNNSKV0,5.0,2017-08-17
AEJNEDZ2X4UPTSYR6NP2ERVSBMVQ,B01ABXS42Q,4.0,2017-03-16
AE6PEKLKB4VZ4M6IUWO6ZBAIT4AQ,B001BSK3NO,2.0,2018-06-22
AHBQZPOCRN5XTH732WXY5PLIJWTQ,B00IJ67MKI,1.0,2019-08-04
AF5H3AX46LQG7VVOH4RVTEIZBRPQ,B000F4SP30,5.0,2014-07-08
AGBNX7KAKLE4GDLXO5G3TIFQHTSQ,B000VTQM70,5.0,2019-09-19
AFZOCOJOLEH5NBZEA6CMPC3YDYVQ,B000EJ332O,1.0,2019-04-25
AFKKAYLCEFEPE6CXX3RGP5NJVQIQ,B00OUFX38W,3.0,2018-08-10
AEOYMIFBZGUAJYZXLW36DB6QEEOQ,B014GVCGLE,5.0,2019-07-05
AHGSDI4VIYFCJNCHWH55E5M7QFWA,B00KNNSKV0,1.0,2018-11-09
AER4Y2FAN3DDMZZ2KXU7RM3W7IPQ,B015FK1EH2,5.0,2019-08-05
AFWVTF35PRYFTIRH5UWCTHAK6OQA,B01ABXS42Q,5.0,2019-10-05
AHSSABOHHEUOIO35PFHFUQQ2QQAQ,B000JJPA66,5.0,2016-08-24
AHCPNTNAIKYT2METPIINUJTJUUWQ,B00K2PXUGE,5.0,2018-01-17
AHEL4F4ZEQUP3S62WE3KIYGUTLAQ,B00DAITFOG,5.0,2014-10-28
AG5NAKGRXMZXAU25IZGE52A3GEMQ,B0011E8DG2,3.0,2019-07-25
AG2BM5DI3S3LGTST524S5VI7JN2Q,B0094GM004,5.0,2016-10-29
AEXVBG2QVSXFND25YXYYVX6JKQKQ,B00KNNSKV0,5.0,2019-06-05
AHRZ36WJVI2U6ANCBLDJCOEDJFQA,B000JJPA66,5.0,2015-10-17
AGWEGGCO7D47V3VPDUA4MAIGHZWQ,B00C66KT6Q,5.0,2018-11-14
AGNCDWPRZQ2SFZOJDB23WW4CJVGQ,B000JJPA66,5.0,2020-08-12
AHOSBGTOK2ONZNY4IMHR6E7LZ7DA,B000JJPA66,5.0,2017-09-17
AGALFJUZDJDKDPMG6S35DOGYKOCA,B0011E8DG2,5.0,2018-01-04
AE6VSH3GVOB3NU6SVCJT6EKOVDQA,B00XBLLG5S,5.0,2019-01-14
AFGLOA6PWM6GH2MTOD2RX7LBV3YA,B000H5WT34,5.0,2019-04-22
AE23Q6HJ33KRF7KGVRECZJHM46JQ,B00BKVPU08,5.0,2016-01-07
AGUWDNUMOMSFJ2Q5MZKS4QMQFAGA,B009346RSS,5.0,2013-12-30
AG6OSTDAAIBHDTGM5D2UQEO2TAYA,B000JJPA66,4.0,2014-01-14
AGZG6BE2M4J4PZF6JADPEB2V5L5A,B00KNNSKV0,5.0,2019-08-21
AHA54L4RHFOZP5LXC4QXU5PHNBRQ,B00004WCCL,5.0,2019-02-12
AGYYMUBXJYLSI4ZOOCZNKBSC4NVQ,B00KNNSKV0,5.0,2016-03-15
AHADYDGRE54VQYYLBIIQ5USPFSBA,B00FM7VHUI,5.0,2017-06-29
AGVU4K4I3E3YQ272HCFQIPMT5RNQ,B01ABXS42Q,5.0,2019-08-09
AEYNFU6JULZZ2QQCBEWY7VZ5L3BQ,B00IJ67MKI,2.0,2019-05-12
AFWMUK7L4CFCJC6NTM6MD63S4C2A,B00KNNSKV0,5.0,2018-03-17
AFEMY3Q5KPLHRMGLYOVABM7YJH4A,B00KNNSKV0,1.0,2016-12-14
AH2EQKMFSKRCYKCU2TLBF5O23UDQ,B000JJPA66,5.0,2013-05-01
AFZMQQQABCZCIEVXBBK7G4FD4OYQ,B00KNNSKV0,5.0,2018-01-01
AH6R5XCICFNM5VV5JGLLJLGKUQCA,B000JJPA66,4.0,2016-10-03
AGWOLJGY4UAPCZPPCM5NWWVKETSQ,B00KNNSKV0,5.0,2017-03-21
AGIZKZAPIUTHQFKQ7O6CWVGJZTZQ,B000JJPA66,5.0,2018-12-13
AFGK5AYXSP5DJDHY6TU6J3CWZH4Q,B007UONMJU,5.0,2019-08-02
AFPKQ3M7FVI4ZEKHFB6OOXGOYDAA,B00LGIZKMI,2.0,2017-12-11
AFHKAKPHWFGW3257DZBIDA2TBTNA,B00H7VEU06,5.0,2019-09-26
AHKTG7Z3TRPX64MJO63FWYJWES5Q,B001HRMJ54,1.0,2019-08-16
AFR6WV2QOCA2SLR5SY3D6KRHXE2A,B017XGEDOM,5.0,2020-05-10
AG5U6SKW45R2AAOP5IG5KRAJ4Z4A,B00KNNSKV0,5.0,2016-01-11
AFQVSBBFLCYR6AH2DZOUFS3RML4Q,B01ABXS42Q,5.0,2018-12-25
AHP5QX2RSSCSU6RLOLLDLICYLS2A,B00XBLLG5S,4.0,2016-08-17
AHVBPJAIWQQD4352ZV7GHBUGRAOA,B00KNNSKV0,4.0,2016-11-16
AEIAJFRDQTOS7232E4S2YXQ2FF7A,B00EME5KZ0,5.0,2017-01-14
AFVMVYFUJYGLELMGS7557OSCEYBA,B004I1DTIM,5.0,2018-08-23
AGJUEWEH5TKKGOSRSQDEURTDU3XQ,B01HAXUE9G,5.0,2017-10-15
AG5CG45WYFZMEX4KZRXRHHHYWPAQ,B00KNNSKV0,5.0,2019-10-14
AEJPKFXJXSILNQD2ON5HIQUFN7YA,B00KNNSKV0,3.0,2017-04-10
AHK2WU5XLN2WHVKWMFJEXDSZNWOQ,B011KM56QE,5.0,2019-06-30
AEF47PPO6XOFSVIZJIG55AHAWZXQ,B01HAXUE9G,2.0,2018-02-09
AG4ATHVKGKCUHQ73YCP4XZRKV7GA,B00KNNSKV0,1.0,2019-11-13
AFFZFE3OJZ6T3VFENAYEGQJYM5RQ,B00IIDY49E,1.0,2019-01-29
AEVH5YQ364PM55DRKBGP6SPMZXMQ,B01F5DWV8K,4.0,2019-03-25
AEMVRVY6AM5LWLQ6QL4N6J6Z7KMA,B00OUFX38W,5.0,2017-05-20
AH2VC5DQGU2KW3VEUZROUR5I64LA,B00KNNSKV0,5.0,2016-12-07
AFLOEVMY4ID7E7RVJBZVSCRFVSOA,B000JJPA66,5.0,2020-08-19
AGOL6DHMRXWZYG4U74OTNU6645QQ,B009346RSS,3.0,2015-11-25
AHYEC67QKI7CYNEEDBQGWJ6VBKNA,B01A9KIGSI,1.0,2017-09-02
AE7ILZ2NMHENFVYL7NQY7NEW4TNA,B015FK1EH2,5.0,2020-09-03
AFIG63FUYSUSQAFPUBJLYO342MOQ,B01CWYESZE,5.0,2020-06-24
AEPQVZIYTQRBDYDNBWWLS7KBQOBQ,B007UONMJU,5.0,2019-07-24
AF2OXLJDFP5MI2WB2CEV75ENAQAA,B000F4SP30,5.0,2020-04-19
AFMBNWE76QSF5UBCI7M6EEIIK2OQ,B00EV5DC4G,5.0,2019-06-07
AH2XW7BOC2JM7HTJTRWUG5YYPNGQ,B01ABXS42Q,1.0,2018-06-03
AFYSSBHQ4XPDKDG2UUIFZJNIXEKA,B00KNNSKV0,3.0,2017-12-15
AHE5BB6TFQLOTD4HMF6N5VS5CAIQ,B001OMQK6Q,2.0,2015-06-01
AFQ3GEV5FRLFN5SZZOFN42VFU26Q,B00KNNSKV0,5.0,2018-01-03
AFXEOVM2LWLV67LPETI25NMMYB2Q,B000F4OYEE,5.0,2015-04-11
AGDDI2VHM7RGP5JDYHMT5OZHURDQ,B01ABXS42Q,1.0,2018-07-28
AGNCUQLJPG4HRLDVAQMXS4BK7WZQ,B00KNNSKV0,5.0,2019-11-19
AHJ2ONFMFS6GMRLICOFH5XZHVPOQ,B00KNNSKV0,5.0,2018-10-23
AFKL6X36FBO7IWCI4N6VMRRZBG3A,B00KNNSKV0,5.0,2018-07-16
AGCN7KEBPPJQSSCCCT4ERXVR442Q,B00C66KT6Q,5.0,2017-04-07
AGX6U47M2RO7LK7MDGAQOTAX3K3A,B000JJPA66,5.0,2019-11-13
AHFLK4IROZ47JLWT6Q2B46Z674MA,B000JJPA66,5.0,2016-11-16
AEUKNRGV3Y2HIPNLJODWU4EXKG6Q,B00PPMU3XM,5.0,2019-04-28
AH6IOIFA7TH7ZO3NWE2MPBOAUQRQ,B007UONMJU,5.0,2014-08-11
AGEQVG4JGFGJ7HF7VYKEUSFGVFCA,B00FN6PBQY,5.0,2020-01-27
AFE6KEHELAUUTQT5HUASYMG4T4YA,B002P5W4RU,5.0,2018-02-06
AGAJ7GE4O5KQQEJQD3M3A32BXCYA,B001BSK3NO,5.0,2018-03-22
AHQ3TELRKJ7ZFCLQEKM4MV6QSXOQ,B00KNNSKV0,3.0,2018-07-07
AFCHXYPKFRNRJ2Z3DVGODPGHAJTA,B00KNNSKV0,5.0,2019-11-24
AEPYPGBKMADFNHXFHDF57ZV66ANQ,B01HAXUE9G,5.0,2020-02-10
AH6OWGXKDNXZIGOWUJIZ2YWIQUSQ,B000JJPA66,5.0,2017-09-22
AEBHW55E7UBZQ7Y5MT2QYF2QAZSA,B002P5W4RU,5.0,2019-09-19
AGHHKN6X44QGK66XF4ABGAJ4DHCA,B00DMI62HM,5.0,2015-02-22
AF7QCBZHVGZOSDBBLETKS6ZVXNUA,B004EFXO28,5.0,2018-01-11
AEAUGCBDOWR3REE6PQWEXRYH3LCQ,B000JJPA66,5.0,2016-03-02
AEF7V265YN7W3DUFUG2JFOYASD6A,B01ABXS42Q,1.0,2017-12-01
AERSUPSYRWJBKB7RCAQOPHSVCOPA,B007UONMJU,5.0,2019-08-10
AHESA67YM2VLCUU53G6U2HONCUPA,B01D9JG0VQ,5.0,2016-08-19
AGBDZRPKRI4SHCDZMONRIQJ63GFA,B00C66KT6Q,5.0,2018-03-21
AFVFGHUDWCMP7YZHDXQAZ6FZ5JLA,B000JJPA66,1.0,2020-01-17
AEGMIDYALKWBYBT6QDECO5GGDDRQ,B018ITTFDM,5.0,2019-09-09
AHBHUC4ZFGRY3VVF76TQLGNLJOUQ,B00004WCCL,5.0,2017-05-01
AHDHZHLOGUNWUCH476VFT7GNFWFA,B018XJ0JXC,4.0,2016-12-01
AECNSAH2GNRNZAJLA6LEPTI4GGUQ,B000JJPA66,5.0,2017-10-19
AFOPNDLAZZVKN4QW54H4BJ3LJ4NA,B000JJPA66,5.0,2019-10-10
AFGYQEQWDUNNVP3VFIFFEQF6JLWA,B004EFXO28,5.0,2018-11-04
AHHFG4HMNAP6VERCDTAUW6OTGYLA,B01CWYESZE,5.0,2018-05-06
AG6UL4RHGAASOQL67MPNJG2FYUKA,B01ABXS42Q,1.0,2018-11-30
AFQOWDYLLHTOEYYXTEQBHLBOM4RA,B002P5W4RU,5.0,2019-08-02
AECKLWH7D7IMELV2IDVAL3GUOADQ,B000JJPA66,1.0,2018-10-17
AHYB7YUVKOGM6HGNRVFPC2COPSKQ,B000JJPA66,2.0,2015-04-24
AHB6OMHBCTIQ7CB7V72GNCVC424A,B00GYS1SXU,5.0,2017-02-27
AEUIURD2WC6SVJLTXZ6ZLQRXCWZQ,B00CKL70LO,5.0,2015-06-01
AGZAN3XGV2BAEBIRJRNKVVJUMWRQ,B01GZFQM3M,5.0,2017-10-01
AHCHOE65PXQHMLGM4JOLESTM6CDA,B004EFXO28,5.0,2020-07-27
AERP33IA23G5SJUYSLP6RA6AERSQ,B00J5DZJJU,4.0,2015-02-01
AFZ3BB7MMMSPPVUK3PXOTX2NRROQ,B005DNQX3C,5.0,2020-08-11
AEXJD4H7A7BVJIDGXXAQMGPGONIA,B01ABXS42Q,5.0,2017-08-11
AH2YCNYTL73NOLKAA2I5TAYOL3BA,B007XRCUGK,2.0,2017-05-13
AGDY62QNCPMAK4PCASVYVYP66CLA,B00XBLLG5S,5.0,2019-06-04
AFEKYR4QLG3KMNJUWPTWYC2IS72Q,B01ABXS42Q,5.0,2020-07-20
AH7CILGXR533B7SZJVDSXG37T6OA,B000JJPA66,5.0,2018-12-09
AHBNC42KACKZSVYEEXVF6RZ2NT6Q,B00KNNSKV0,4.0,2019-01-05
AGLOKVXQSDCQUNYQMRJZX7XRHPZA,B00FN6PBQY,3.0,2018-12-29
AFLGDOU77D5RLOQ3TBE57GSAXHEA,B00KNNSKV0,1.0,2019-09-23
AHA3TBYHXOJJMNJYOAKAB7CLGDNA,B00KNNSKV0,4.0,2016-12-26
AGAKHGMEFFH5N2PQJWRF7EY2SY2Q,B00O1Q2HOQ,5.0,2019-10-22
AEWCZ2LXL5F24RHKHFQRAYRKVPFA,B00KNNSKV0,5.0,2018-09-21
AGPNNELZW2HMLHY3F3HTRU3ASEDA,B00KNNSKV0,4.0,2019-04-15
AFY6N5EUDYC3DYYQ5MP4O3LF6POQ,B002P5W4RU,5.0,2020-06-18
AGQ6YZVX5KGX47EKDKAVVTUUBTCA,B00I8GQ1EC,3.0,2015-06-25
AE2MPLR5YIFTJ3ACCLQFZHXWTULA,B019PCG5YS,1.0,2017-12-01
AHHE3MQVTRYO45DTVDOPFN7AAQ2Q,B00KNNSKV0,5.0,2017-11-23
AFQOVGMV7FTPUEB3D35EKAUMAZ4A,B000JJPA66,5.0,2018-06-04
AF24CJX4KQAJPIOXEDAE2KAHIATA,B00CKL70LO,2.0,2015-04-28
AE7KU2KOVWCQVQZ7VT2W4IP7242Q,B00UJD3D2K,3.0,2017-01-04
AEQJQJRKFRMOPEB4X5HWPFHQDSZA,B00KNNSKV0,5.0,2020-01-25
AG6T2GYZA54KGYG5UP4FZTLA4E5Q,B00EV5DC4G,3.0,2019-10-27
AFE675R42SAOKZAKA6L7WKF47NSQ,B01CL1FCNA,4.0,2017-01-08
AFIQ2ZGDBEQVG3ILNVLB4OMWYHCA,B018298ZLG,4.0,2019-12-30
AG2QXH3JBVLRII3QKWFLOORYOSAA,B004EFXO28,5.0,2018-10-28
AHSL3ISMFC7VNZVFP3TESDFE6F7Q,B002P5W4RU,5.0,2017-09-24
AHN3UXJDGHNKAXK4KL4GXBERTY7A,B00A2G3G7G,2.0,2019-07-30
AG6EL6REFA62GI74MW4CRUQZN3XQ,B000JJPA66,5.0,2015-01-31
AEILEAUK7GLWJMRS55IML3OGAHHA,B00KNNSKV0,3.0,2020-04-02
AEBKO7EAG52QTIWDSSQSAVMUHQLQ,B00C66KT6Q,1.0,2017-10-29
AERS3TCWSKRGKOF44EI47T52UWSA,B00KNNSKV0,5.0,2017-03-28
AGE3DIIHX5QILP33GBAR7ZW2SH2A,B013E9L4ZS,3.0,2019-05-15
AGMDQ4IQCUMNEHUVZIK6DUPFAZYA,B000JJPA66,5.0,2013-10-27
AH22DWI4275CLXHS2WVUWW2GRQPQ,B00837ZGRY,5.0,2016-01-02
AFWDUKQ3BX6G437QWAPJCVRYUTHQ,B000JJPA66,5.0,2018-12-09
AGH5S6DXH3M5BUBWEM5L35WFPU2A,B01ABXS42Q,5.0,2017-05-07
AHFES3YDGPFULZG53NMFJQK5HB7A,B01ABXS42Q,5.0,2019-02-27
AHFOJKXKUWKYXBFPVQ2OTH3SYD3A,B000QZ1LZM,3.0,2019-12-03
