itemId,title,price
B0000223UV,"Gorilla ADHGG15, Glue, 8 oz.","₹ 2,681.00"
B00004RH8J,DEWALT DW4528 4-1/2-Inch by 1/8-Inch by 7/8-Inch Concrete/Masonry Cutting Wheel,
B00004RH8I,DEWALT DW4523 4-1/2-Inch by 1/4-Inch by 5/8-Inch General Purpose Metal Grinding Wheel,
B00004WCCL,"3M Super33+ Scotch Vinyl Electrical Tape, 3/4 Inch x 66 Inch",₹ 250.00
B00006IC2K,"VELCRO Brand - Sticky Back - 7/8"" Squares, 12 Sets - White",
B0000A605H,Duco Cement Multi-Purpose Household Glue - 1 fl oz,
B0000CBIHF,GE Lighting Window and Door All Purpose Silicone Caulk,"₹ 1,960.00"
B0000CBJ7W,"GE Silicone II Clear Caulk, 10.1-Ounce Cartridge #GE5000",
B0000DD5EN,Gorilla Glue Bottle (2 oz.),"₹ 1,014.00"
B0000DH8I8,"Scotch Tough Duct Tape, Transparent, 1.88-Inch by 20-Yard",
B0001GAYRC,"Gorilla Original Gorilla Glue, 4 oz, Brown","₹ 1,928.00"
B00022749Q,"Shoulder Dolly LD1000  2-Person Lifting and Moving System - Easily Move, Lift, Carry, And Secure Furniture, Appliances, Heavy Objects Without Back Pain! Straps and Harnesses for 2 Movers - Great Tool To Add To Moving Supplies!",
B0002BBX3U,Loctite Clear Silicone Waterproof Sealant 2.7-Ounce Tube (908570),"₹ 1,420.00"
B00042K694,Sun Company 201-F Lev-o-gage Inclinometer and Tilt Gauge,
B00062W6MM,"Dap 18001 Kwik Seal Caulk with 5.5-Ounce Tube, White",
B0006O1ICY,J-B Weld 8276 Kwik Weld Cd,"₹ 1,419.00"
B0006O1ICE,J-B WELD™ TWIN TUBE - 2 OZ,₹ 799.00
B0007KQUMK,"Gorilla Glue Adhesive, 2-Ounces #50001",
B0009F86SE,"M-D Building Products 3822 Vinyl Garage Door Top and Sides Seal, 30 Feet, White",
B000BD69Y2,"VELCRO Brand - Sticky Back for Auto - 2' x 1 1/2"" Tape - Black",
B000BP0NAQ,Ayurvedic Medicine (100),
B000BQR55G,"Shoegoo Adhesive, 3.7 Fl Oz - Clear",
B000BQWOC0,"M-D Building Products 71480 1/2-Inch by 20-Feet Backer Rod, Gray",
B000BZYCNK,Reynolds Consumer Reynolds Freezer Paper,
B000EJ332O,Fluke 1AC II Non-Contact Voltage Detector,"₹ 2,599.00"
B000F4OYPI,Littmann Classic II S.E 2813 Stethoscope (Ceil Blue),
B000F4OYMQ,"3M Littmann Lightweight II S.E. Stethoscopes for Nurses, Burgundy Tube, 28 inch, 2451",
B000F4OYFS,Littmann Classic II S.E 2205 Stethoscope (Navy Blue),
B000F4OYEE,"3M Littmann Master Cardiology Stethoscope, Black Plated Chestpiece and Eartubes, Black Tube, 27 inch, 2161",
B000F4SP30,Littmann Master Classic II 2144L Stethoscope (Black),"₹ 12,806.00"
B000F4UOWK,Littmann Classic II S.E 2209 Stethoscope (Purple),
B000F4UOXY,Littmann Cardiology III Stethoscope Black-Silver,
B000F4UP10,Littmann Classic II 2119 Pediatric Stethoscope (Caribbean Blue),"₹ 8,058.00"
B000F4UP6A,Littmann Cardiology III 3135 Stethoscope (Plum),
B000F4W1GW,"3M Littmann Master Cardiology Stethoscope, Black Tube, 27 inch, 2160","₹ 16,350.00"
B000F4W1O4,Littmann Classic II S.E 2210 Stethoscope (Raspberry),
B000FPAN2K,"Gardner Bender LTB-400 Liquid Electrical Tape, Black",
B000FW7UOM,"Blue Magic 16002TRI QuikSteel Steel Reinforced Epoxy Putty Repair, Blister Pack - 2 oz.",
B000FZ2UOY,"Neiko 10194A Titanium Step Drill Bit 1/4' to 1-3/8' in 1/8' Increments, 10 Steps by Neiko",
B000H5QHK0,Krazy Glue KG48448MR Instant Crazy Glue Advanced Formula Gel 0.14-Ounce by Krazy Glue,
B000H5Y6CQ,Rutland 500°RTV High Heat Silicone (Black) 2.7 oz. Tube,
B000HBM80M,"Permatex 80037 Valve Grinding Compound, 3 oz.",
B000HQIX2O,"Gorilla Duct Tape, 1.88"" x 12 yd., Black",₹ 999.00
B000IFF4L2,Hospitime Skin Staple Remover Kit,₹ 324.00
B000IG7Z7C,"MDF Instruments MDF767-BO Sprague Rappaport Dual Head Stethoscope with Adult, Pediatric and Infant Convertible Chestpiece (Black)",
B000JCGU8U,"WD-40 110057 Multi-Use Product Spray with Smart Straw, 8 oz. (Pack of 1)",
B000LGPD64,"Super Glue The Original Super Glue 15187, .07 Ounce, 12-pack by Super Glue",
B000MOI9G6,SURBHI CHEMS' Diamond BUR 20PC. Set,₹ 290.00
B000NN9SDO,Creative Health Products Slim Guide Skin Fold Caliper,
B000O8ARTC,Jaybird And Mais 6000 Jayco Co-Adhesive Grip Tape: 1-1/2 In. X 15 Ft. (Black),
B000P49BX8,SE 82331TF 30-Piece Set of Titanium-Coated Diamond Burrs Grits 120-150,
B000P8VTNY,"Anytime Tools 5/32"" Diamond Chainsaw Sharpener Burr 1/8"" Shank, 4 Pack",
B000PSBBM8,"Loctite 233841 2 Gram Heavy Duty Glass Glue Tube, Pack of 1","₹ 1,711.00"
B000QJ3G42,Fluke MS2-100 MicroScanner Cable Verifier,"₹ 32,000.00"
B000QZ1LZM,MDF Instruments MDF747XP17 Mdf Acoustica Deluxe Lightweight Dual Head Stethoscope - (MDF747XP-17) (Burgundy),"₹ 3,149.00"
B000REGUBM,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",
B000SKX0N6,"CLR Pro CL-4Pro Calcium, Lime and Rust Remover, 1 Gallon Bottle",
