userId,itemId,rate,date
AG57CUSWG43TEJZIO72ZZ3ZHCAVA,B009346RSS,4.0,2017-03-22
AHZAMHXBEH6V2432VK3S6UBPFZAA,B000VTQM70,5.0,2016-12-10
AH6HADLYSXXEA4ITENAJJNY3C7DQ,B010OUP208,1.0,2019-06-15
AHPTJMUOC37MQA7SRYWLTWDEDM7A,B007KDYOMU,5.0,2017-05-24
AHRJWFKZ6KEHSQSGITZYKJ5LKJ3A,B000XKUPHU,1.0,2016-01-24
AEBRJLEMWDPAWMIIDDLXBAVB76RA,B007KDYOMU,4.0,2017-07-14
AHDZIQXGZI5Z7CURVQYSV5ZHZJVA,B007KDYOMU,3.0,2019-11-08
AHS7HVTHLZNZZ5WFCAKA7QFINBUA,B0132ZPXTC,5.0,2019-09-22
AEILR623Z3UCSV6BR2G6PFRHKGUA,B000F4W1O4,4.0,2015-10-11
AGHY4UAL7MXT6UMF6HXTII2NYTXQ,B00TDOGRW4,1.0,2017-11-22
AEKBOQFRPLTNXHZBVDY7GO6GKKSA,B00837ZGRY,5.0,2020-06-30
AFM35PEOXGHQVMDHJMPZZW2M7HQQ,B00XQF6PEQ,4.0,2017-12-01
AGUMQ5KIMSYF3V7HXL3M4OGQ7P7Q,B00FGARIAO,5.0,2017-06-14
AEWFOKTLNYCNWLEXYQN65STBUYKQ,B000VTQM70,5.0,2020-08-23
AHMULKRBM53DGQQB5MGBUAR5A7UA,B009346RSS,5.0,2019-06-12
AHJS7GWC3MJAI3MXAR4ZKJTJFIBA,B00I3UA89C,4.0,2016-02-15
AFCQMACRB67CSU25EPJJCF6P6Y5A,B009346RSS,3.0,2020-07-27
AF76SP5SACGSTLXHEHEZ7LCG5Z5A,B005LDG7HQ,5.0,2020-09-26
AFMDU7VQB5HXJLTQIMWWZL6CHQ2A,B000F4OYFS,5.0,2015-09-03
AFJCVGT2XMUOCRFMDMCRDMHLKKJQ,B009346RSS,5.0,2017-09-28
AGPLVHLYHVAIKU7I2I4AUMQFE7GQ,B005C49J92,5.0,2018-08-18
AHSACDYLFO2FK7KVB7IX75OULZGA,B007KDYOMU,5.0,2018-07-05
AFV4XH2KZ5UVN6QBKJ6AER743N6A,B007KDYOMU,5.0,2018-10-05
AHO3RP72JHB7AC6KMZJK5MPG7IDA,B000VTQM70,1.0,2016-06-08
AFSUPT2NKFRJ73LAIECSNCZ6WM4A,B009346RSS,4.0,2019-01-21
AEF35PLGX2MWI6HV54UW4R7LG2YA,B018F5878I,1.0,2017-01-04
AGPLVHLYHVAIKU7I2I4AUMQFE7GQ,B000F4UOWK,5.0,2018-08-18
AFS6K6MNIPLPLGLORD3TDMZ5XGRQ,B005C49J92,1.0,2014-06-24
AGJOZH2ZKIDU5IAQ73FIIGI7XTVQ,B00722PHSO,5.0,2018-11-03
AHWMDQLO6R4BPOCXLKZYNRHUG2TA,B000VTQM70,1.0,2019-02-18
AFUMMAG3Z2XUNXSZGZUOGWEQSUXQ,B009346RSS,5.0,2019-08-17
AEFXDPV55KHU4W4UPSMANIRWBM4Q,B00O8RIYYU,5.0,2015-10-12
AHTDPTAIGRHWTJGEECUHUWATAMPA,B0006O1ICE,4.0,2019-11-09
AH27LBH2YD7GO3LXMSLCRN3LKDLQ,B009346RSS,5.0,2019-10-06
AEWXLZWL3XJHKOIUW6SFTIFFGXYA,B00KS993II,4.0,2019-08-12
AFVF2Z7M3YQAWGPXIY6P7OI6Q3LA,B007KDYOMU,4.0,2019-11-07
AHWGB2D2BDMTEYDMX4FRPQ6EI42Q,B005C49J92,3.0,2016-02-17
AFWZE6TPF3SWS2RJRZU6RVTSOCXQ,B0077TDLA8,3.0,2017-10-13
AH3RBAECTIYCZQZR62SBVCUE7URA,B005C49J92,5.0,2016-03-20
AHBK53PRGKR52O7B3FLTW4JYGT2Q,B00178MO58,1.0,2020-09-21
AHFQYDTNAACDGEIGAPYR55MLFIWA,B000VTQM70,5.0,2019-07-17
AGPLVHLYHVAIKU7I2I4AUMQFE7GQ,B003YIYNYO,5.0,2018-08-18
AG3D3NG5ZAQ34QDJ6D6XFSMPIFQA,B009346RSS,5.0,2015-06-08
AEMQZUZOKKVISDLGVUG5JXJS3TRA,B007KDYOMU,4.0,2019-10-26
AGWNMNH5HQ26U5SWTKEWHMOGPN3Q,B01ENFOHN8,5.0,2018-12-10
AGVYUUEAWQ6HBBAZ3R7QCAG7BHTA,B007KDYOMU,5.0,2017-09-24
AHFGHVV6KAJJJKRFJP632QPA2HXQ,B003YIYNYO,5.0,2015-08-22
AE6ATI2MX5X6CWULRB34KTACNPXA,B007KDYOMU,1.0,2018-09-30
AHGJ5FFFHFCNR76RFAROAH7ZD3NA,B007KDYOMU,5.0,2020-01-07
AGO6YN66LE4MHRLR3FQGYPGDWXGA,B000F4UOWK,5.0,2018-10-05
AEXDILZPJNV4VBE6YMJG3GQUWKSQ,B004I1DT1O,4.0,2017-05-16
AF4UFEGHC5RVL2WYV5PCQ7AQIMPQ,B005TZJ0AM,3.0,2017-01-28
AFWCAL7VPFCSX45RKKCOJ2KMNUIA,B00MVIYNFW,4.0,2017-02-19
AE3ZL6ZKSHGWHXZZYCUBQTWNOOAA,B007KDYOMU,3.0,2018-10-23
AH44QREBQ3WGHSMB2X4E3KZAH64A,B014GVCGLE,5.0,2020-09-16
AFLLJ6CFJY6BH6UV3DZCHX3QD4YA,B00A9ZNCJM,4.0,2019-11-26
AEEF7FLA2KUKU4MFMZIGODITGZ2A,B000F4OYMQ,3.0,2018-11-18
AFK4SZCTTHUIFV64DWLKUKQ72EPA,B0093PP62U,5.0,2019-09-09
AGFTTMZTJAWQXT5LZAUUCX6SGGNA,B0007KQUMK,5.0,2018-03-30
AEERSSNUZYZZECBM2KXRWKEM7IMA,B000F4W1O4,5.0,2015-10-08
AHZW3OWVPBNAUNYAQIQZKSFZEPPA,B000BZYCNK,5.0,2018-10-06
AENZFBY6PV2JDD4SYXCY22CALYOA,B009346RSS,5.0,2019-01-22
AH6SYTSDO2LENLTH23FIH2YVLHUA,B00XQF6PEQ,2.0,2017-11-10
AEZ5MHZQGLAYE35JBIKXUKREDQSQ,B000F4W1O4,3.0,2014-02-26
AEPDP3PL3AUKY3EJ4HVXJYKMCNTQ,B014GVCGLE,5.0,2019-03-17
AGZLBQIR5VL2KW4E2U4LOGG2GUUQ,B003O509PY,3.0,2020-08-30
AHDQXPDD6SNVVS66KG6OG5HWS3YA,B0055QA7U2,2.0,2018-12-14
AGUINPTQNAUVPP7BMPKIIVVR4UUA,B000F4W1O4,5.0,2015-06-05
AHNOJREOPLSGG2LT3IEIGHS3THNA,B0077TDLNA,5.0,2016-11-24
AGGWFUKRACB4FXMK5XT7JPURRHVQ,B00722PHSO,5.0,2019-05-22
AHFJXY5Z3X6S7B2JCFMOSEAVIYZQ,B014GVC240,4.0,2020-01-22
AGO6YN66LE4MHRLR3FQGYPGDWXGA,B005C49J92,5.0,2018-10-05
AE6OMCNB4XLQHIR3EHQIZRKCSFQQ,B00KRHF8E4,5.0,2020-09-23
AG65PZUOUCGNNTA2DRGXCWJGSDQA,B0132ZPXTC,4.0,2019-09-01
AERNRXGUZQ3Q34CTDQGIUXLWKQLQ,B000HBM80M,5.0,2017-04-01
AHHC4BFURM4CD3ICTSR5UECSBXPA,B009346RSS,5.0,2020-08-05
AHZ7H3SSHGLC6KZUW2KLDVEGT4DQ,B003DKQB02,5.0,2014-12-27
AG7ZZMZI7H3WAVELFWKM3EN3E2PQ,B000F4OYPI,5.0,2016-05-06
AF4WYJYDKQNQHN6WXRR24TIMIRTA,B007KDYOMU,5.0,2019-07-16
AH6M3RWBYBIE5CL55JYPFLXZJ7BQ,B009346RSS,5.0,2018-10-21
AFKOKD3A6FFX6NU62ITILXPTNLLA,B0093PP62U,5.0,2019-07-29
AHDSQWYNCN2N6QGLMGHQUQYGD6RA,B00XQF6PEQ,5.0,2019-05-02
AE72JUXPA5UEQALW2642NWGLYTIA,B000F4UOWK,4.0,2015-11-28
AEJS2K4DWTJKUSBAG7FEEZ5ZP5ZA,B010OUP208,5.0,2019-02-02
AEXU4ZJIFASU2AKJ5FZTI6TTQTQA,B000VTQM70,5.0,2018-04-06
AFTQKFAKGQCAPT6ESFPBYYYL4M7Q,B007KDYOMU,5.0,2019-03-16
AER44WRLM6M3GW6GT7HH3QL66IHQ,B000F4UOWK,4.0,2016-06-07
AHEACR6SVGT3NG7Q7SPZ6ZUAVFPQ,B000VTQM70,5.0,2018-03-09
