userId,itemId,rate,date
AFLKSPSE3UY7L4ZSC5VYWOCTFQHA,B00W75P3AI,4.0,2020-07-12
AFVAF4NEK3IRBVY45CD42PZL6QZA,B000HQIX2O,2.0,2020-09-24
AFUSHAC53AAMGFX6SQM2CYBCUOXA,B005ZQ47AS,3.0,2013-12-31
AHFNFCASU6MUHUILWPRRCSZ3HSXQ,B01A9KIGSI,5.0,2017-06-25
AEQ365TM4FL5J7GKDEZI5C6AIY7A,B0006O1ICE,3.0,2020-07-19
AEWSM7QX3XHTMP77DMZOR6NZE7PA,B00BKVPU08,5.0,2017-10-24
AHEDQSVRXM4QAIBOLV7YCZ77MX3Q,B00W75P3AI,1.0,2020-03-07
AHFAEW42PUDZDR4BQTUUZYN3L4NA,B000CSS8UE,5.0,2019-04-11
AEQ3GJNT2VS6FNWAEXTTK37X2XOQ,B002RMFTLE,2.0,2020-06-15
AEW66ZYNTEWB3B4GD47TLW6HDAXA,B015X34IP6,5.0,2018-10-28
AGKV36CGW7SQ6DEUFZDJJ2GKVWTA,B00RJPXB6Y,3.0,2018-07-07
AEYHORZCR5GYKYJZSC3FRYLXMQBA,B0016GHKLO,3.0,2013-07-12
AGZKTBKKM6FU7F4VIL3Q5TZ6UWJA,B0002V37XY,5.0,2013-04-20
AFBNPUGABZV4QE3BFJI426GMF4YA,B00KNNSKV0,5.0,2020-07-01
AHQUVHNURL7UDKFVVPK4BRQYWS5A,B00ME76OHA,5.0,2018-01-18
AHKKONYP5ULUF4YRETPSM4TIWYCA,B000BLC092,5.0,2015-06-07
AFBV5HY6MVHSZTGQBMN3JY37NVYQ,B00VILVV62,5.0,2015-09-23
AF224FQLXXXXP7M2B663TASGDGHA,B00H7VEU06,5.0,2016-04-07
AF7I4FL3WPQXQMWQJAPJJJS4R52Q,B0013P6ZJQ,3.0,2020-10-01
AGEBSCEGBIRBFOPH5AMJBQK66UCQ,B0016GHKLO,5.0,2014-07-09
AH6UERVOGA54VCQJEUMA6X3HJUMA,B00PF7NU7S,4.0,2017-10-08
AGSM5563QMVWKW2SGUVLYEWJ22ZQ,B011EOR2IS,4.0,2018-09-06
AGU6FNIOEVUSYYQ6R7SFAZUVLPQA,B00ME7424W,2.0,2018-01-15
AEBI5GLHTKZV5LZHM655F4V4PHLA,B0002V37XY,2.0,2014-12-09
AEG6KDM5H62KWMLI3Z732AVNNJ7Q,B0016GHKLO,5.0,2014-08-29
AG3L24GA675QBPCH75AVHOOWXZRA,B01BO4HAIK,4.0,2019-11-01
AFTX4IPD7STAUIIPTTE5DF6XTBHA,B005ZQ47AS,5.0,2013-05-02
AG3YU6AIW5RCZADD5HT2M2QCZGQA,B000F4UOXY,5.0,2014-06-26
AHNHCHIUTIRVAKDOZSZ3VDWB7PLA,B00SXVUETU,5.0,2016-09-18
AH5GVBTC74CD3SSMBK4LPGI4YHTA,B00RWX7EAW,3.0,2016-03-01
AGYS34ENLLLYRKBYMMIAYF5TCNMQ,B01BO4HAIK,4.0,2019-11-04
AGD3S2VK3N7BFHWRZDHRBTGQKSWQ,B00APDNPXG,1.0,2020-08-10
AHSY7XWSKAWXJJD74F2KHDM4JQLA,B00BKVPU08,4.0,2016-03-19
AFVUDCWPJ65MFMNYFC6TTBNN6GJQ,B005ZQ47AS,4.0,2012-04-11
AFXTV6RKPCZMFUAUPOFCBJIN6ELA,B00KSKY0XU,5.0,2015-02-08
AFG3ND5EP34BM4U62GVAXS3BC7CA,B00RJPXB6Y,5.0,2016-05-28
AHIX3ZBDVFRMIKAAXLHXWGH4LU6Q,B000B868NE,5.0,2014-01-09
AESDYDI3XV5PLZ2HPHTJG32LFQVQ,B00TGOOU20,5.0,2017-11-13
AFIN7QBKQCSUSGEQB4TG5PG3N7PQ,B0093KZTEA,5.0,2016-09-15
AFXCOEZEBB3RFZUCOETQYPC7NC5A,B00IIDY49E,5.0,2017-12-02
AGPFDRSICUZ734PZTB3T7M5SYZRA,B01A9KIGSI,5.0,2020-03-07
AFY4ORS3N3GJKSDJIEANMIYHT4VA,B01EIHQP1I,3.0,2020-10-10
AH4VV3GS66PNCQXFPXAHVZO2UPPA,B00004TBJD,5.0,2014-03-22
AH4KSFNNGUJLLFKMBQAHTA4UMP3Q,B013HQ0S1Y,1.0,2017-04-04
AGOLZQU222SRHW27E7PNYBOOYQJA,B00IIDY49E,5.0,2019-12-04
AHQUVHNURL7UDKFVVPK4BRQYWS5A,B00ME7NHJ8,5.0,2018-01-18
AGFOSPOYMILYP32NYPFVWWECSPWQ,B00004TBJD,5.0,2020-08-09
AGTQYIEWEXERPHD5H3ISJMLA7SPQ,B00IIDY49E,3.0,2016-03-26
AH6O2QJ2SHVPGQA5FMVQMVZWESAA,B01A9KIGSI,4.0,2018-08-05
AE3JIIHC36ASJG7MKHCJ2W3TMTBA,B0002V37XY,4.0,2020-01-14
AFIPHBGBLRFHWWCLUCMKGHN73HNQ,B000F4OYEE,5.0,2018-12-25
AF4H76N4RVHVDX7JCMRVFGVIAQGA,B013HQ0S1Y,4.0,2018-05-31
AE43KK67JY2YPNTWQQFNPZYYJJEQ,B00BKVPU08,4.0,2020-10-19
AHNAJWABV2WZQBU3E2OA7N5L4LGQ,B00004TBJD,5.0,2014-01-12
AENDOAIYUOVWACFOIUGBX22ZKBOQ,B000HQIX2O,1.0,2020-10-07
AFPKC3UK6WCCYPG5UDHSEKTBZHUQ,B00LGIZKMI,5.0,2019-11-06
AHIBMMMMIJW7RRQMZQ47MTFVLU6Q,B00ME7A1II,5.0,2017-11-06
AEFHFIZM4KOJ5BALNJNAUKXXZD3A,B00LVFDLUO,5.0,2016-10-09
AGD3NXV6KVFIMYB2NEI5SFBVK2NQ,B00WLI5G7G,4.0,2017-10-25
AGJEF3ZMVG5BX5B2TWWI2KDBUENA,B000F4SP30,5.0,2020-03-07
AEYZYAGWBNBCHMOV34DPDW2T5CVA,B00N7432II,5.0,2017-06-13
AFIA2HSYDJHGPXZCFSTZOPV6QU4A,B00405DHG0,4.0,2012-12-24
AEIRQFVEQRIU33CPITBP7ZLGSFJA,B00SXVUETU,5.0,2016-01-30
AGWJD47R5UNTCEVFNUPIGZDB34SQ,B0093KZTEA,2.0,2015-02-21
AFNZ5N3KLHCSQ3TMQRYRT64UHZBA,B015X34IP6,5.0,2020-05-09
AFLKTODG2INKOF72CVEEM5WP4QPA,B00ME7CV7C,5.0,2019-11-03
AFKKAMIYQ2DYYG6SZJLKNEFIK7KA,B017L9GKGK,5.0,2019-01-23
AECHDZENTT7W7NVVIOPI72PO4HWQ,B00W75P3AI,3.0,2018-01-11
AGPOGJMPGI6TLY233PDA4U6GLTYQ,B00BKVPU08,5.0,2016-08-13
AHY4X524JTHVYOI2LHPCMR45VU2Q,B00004TBJD,5.0,2017-03-31
AFWQANREZUKB3ZFSXNGZRBPJCEIQ,B0006SL0VO,5.0,2018-09-16
AGHITY2DL4VH6E34CCBELUE3BD4Q,B00S298KJO,5.0,2020-05-17
AHOOGY6LIIXHMNE2QR2WDHUKWCLA,B00IIDY49E,3.0,2017-03-07
AEU2YIOKYFHPG6RQJSXJV5WXJONQ,B000B868NE,1.0,2017-11-01
AG3GA6JGH7QZ53TBVZPUABXANC7A,B0016GHKLO,4.0,2014-09-05
AERASLLU3ZXBCBT5HDMEATSNN3KQ,B0016GHKLO,4.0,2014-08-22
AG5XWIX5NLQLRNO5LGQ45XYIAVVA,B000FFIJF8,5.0,2018-04-24
AGH5KBJIXQKESUGKR3U4C2MJTYOQ,B00N3PPZZY,5.0,2020-03-08
AHDCBQ75IJASHJGFZRWWTTRJXFUA,B0013P6ZJQ,5.0,2017-07-05
AGX3X3ESB2KO5UVSCTCCH6BYQJ6Q,B005ZQ47AS,5.0,2014-12-31
AFTH7A6T6XZ6WCHFNFVTPMKZO7CQ,B00H7VEU06,5.0,2014-06-14
AGI57ERBXOWA33LCCRBGUN3T4NKQ,B000F4SP30,5.0,2018-08-03
AEWWCX2RBCI3ECVSEXB7I73W6XXA,B00MQSCZF2,2.0,2020-02-03
AEZ564SUWQRXLMGAV7CW3K7FMC5Q,B00004TBJD,5.0,2017-10-14
AH3CLOATWOXEMRV3ETIPNEO3CJGA,B00RJPXB6Y,3.0,2014-08-21
AH6U3YBPJJ6PB7SD2LVMBCNVDWSQ,B0016GHKLO,3.0,2013-12-13
AFLPQP3B7Y2TETKMYQYJMZ45TQEQ,B000H5R5M4,5.0,2019-12-04
AFI4Q7WOZBPNLMAKW76FDPO4CWDA,B01A9KIGSI,5.0,2019-05-21
AEQKVOJUTUTPOBS44CJA5UZBGV3Q,B00PF7GNPO,3.0,2017-12-17
AFOXSZSZVPNHL7T5CCF67Z5U7OYQ,B011EOR2IS,2.0,2018-12-23
AE3JCZQS433WXR3G6PRM6CLIMHEA,B0093KZTEA,1.0,2015-01-11
AGJTGMGGZERT4K4QFIRLTCEXGL6Q,B007KDYOMU,2.0,2020-05-13
AE26HCSQRGIT3CILJ3TSZJKF26PA,B0006SL0VO,5.0,2015-04-13
AEE2KNQ255ZDMVDD32XLOXQY5USA,B00CGV6TZG,5.0,2015-04-24
AFLTZHBQBN7KJOF7RCENUOBJ25OQ,B000HQIX2O,5.0,2020-09-14
AE2BU5YCASYPG6ZG4N7YGW664MFQ,B00PF7GNPO,3.0,2017-11-11
AEAFYBSP4TWPQFTHI4WKK5KV67OA,B000B868NE,5.0,2014-12-12
AHST6JIDWJTKWOYMM3MOIGTNE6XQ,B00004TBJD,5.0,2020-04-08
AG3THLG5A5GXN6N4EYY45VYJB6GA,B015X34IP6,5.0,2020-08-11
AFFHJUB2WVIFWAGVH3PFZPPCVYTA,B000F4W1GW,4.0,2011-10-06
AFNIF4VSISA6FW4EMQRTJTQEJFYQ,B00ME7424W,4.0,2017-10-14
AEC2UO6LJQPUNF4FKZV6KKKFVAEQ,B007XRCUGK,5.0,2015-12-04
AHKANJ6CVNEC473F7K7LALGUEOVQ,B00004TBJD,5.0,2013-04-04
AERFDJARWZM4O7NZN6ZN6IP26TDA,B013HQ0S1Y,4.0,2016-11-14
AEXND3MMQF7AUITXX7OHIJWJCJXA,B016R9E7J2,5.0,2019-05-16
AHV4DCDK2EW77YADJPCPXXL6FKWQ,B011EFY014,3.0,2019-04-02
AFIL3KAWELV3XM5CJYM77UTP3WDQ,B0006O1ICE,5.0,2020-07-22
AFCZHUVW2BFEYB2AGCDLBRHIYP5A,B003YIYNYO,1.0,2016-02-21
AE2GZA244NIHEI5G4QJ3OEBKUVIQ,B015X34IP6,5.0,2019-07-08
AGHW5CKKI4H2FDVKJ4QPRLKLQPHQ,B00ME7CV7C,5.0,2017-09-02
AG5ZNFFBIHAZ3YS4H2OCYBTWKU2A,B0002V37XY,5.0,2019-02-13
AF6AQOWNQVWUEQC3DL25O3SSUQJQ,B0057OC5WK,2.0,2017-12-27
AGLNRS45OJJLEEBQYV6BJOIK3ZPA,B009346RSS,5.0,2016-03-22
AFBIXMJHA45PJD5FVJERBAC36PKA,B00027CCCU,2.0,2019-08-14
AFKRAARKL4HPERMSZI7OG3CA724Q,B00RWX7EAW,4.0,2015-02-06
AFRGIJMRQXPLDRYWEJUHQF56AXAQ,B00IIDY49E,3.0,2018-11-27
AH7SFFUCPLJS3QLPEKLNDYH7SVSQ,B007KDYOMU,4.0,2012-07-27
AFO7AQ5MSYILGWPDHQ2NUAPGESZQ,B0093KZTEA,5.0,2013-06-04
AFHU7X5LGUXBDYSHVG6BJ76O4OBQ,B0013P6ZJQ,3.0,2015-04-07
AE4P6YH3TCDFPHXOTEA3GGDVFHJA,B00W75P3AI,5.0,2017-11-07
AHGRB24R47T2GPPEITT6NCLONZFQ,B0002V37XY,1.0,2019-03-08
AENG5Y7CYN4BRUO4BNN4F2PGOAPA,B0093KZTEA,5.0,2014-04-27
AF5WLLPSZRZOBXPIPKQSTVBNTQ2A,B003KTLRUA,5.0,2019-09-05
AGI5GXGALSHV5VJUK6VFTXOPWMMA,B000B868NE,5.0,2014-04-14
AEE3A7KWYSXWYV7EMLOJ3FSBWRUA,B00MB3CV6K,5.0,2019-07-29
AFVYBC3I6G5KXYMLG23PZ7D76JEQ,B00KNNSKV0,3.0,2016-05-13
AFO7EPLJ5OVVUICFICQ5EA7J7GQA,B0093KZTEA,5.0,2015-12-11
AFUQNI2DWZJZSDUJORCW5PQNHWZA,B007QAJUUS,3.0,2018-05-12
AHCNRERXUV37RSRFTSFJCWCNE47Q,B001B19FDK,5.0,2017-03-12
AEQ62KHEYT7WVZSM5GJLJ4VKMFSQ,B0013P6ZJQ,5.0,2014-04-16
AG4R4ZASFE3BR2TQLSQAHPMYHOKA,B000B868NE,5.0,2016-12-08
AHQGY7JT7Q4LEAKLDMMEO6XWIWMA,B00RJPXB6Y,5.0,2016-08-05
AENSAUUD6FS3CAD4RK2YB6SCAQSQ,B000HQIX2O,5.0,2020-06-03
AEU75ULDJFJC5H4S7J2I43XWUP4A,B011EOR2IS,4.0,2019-12-12
AHOVYVP6CBHO5LPMMWTYV2GDHYWA,B008MIRQUE,3.0,2015-07-28
AE43D3SN3SVXZ3Z2WQQUOMBU7JXQ,B005ZQ47AS,3.0,2013-05-24
AHUDB3TK2II2CP7OMWEJK3LTBZWQ,B0016GHKLO,1.0,2014-10-28
AGQKTXKOCNIFGXFAZPPCD6QFZOKA,B00W75P3AI,1.0,2019-12-04
AHYOC6VLVOHAMKJNPXJYZFC6WELA,B00RJPXB6Y,4.0,2019-12-06
AFMXMUGEYDZXWUGHZCJRLSQ4TQ7Q,B00N9OU6J4,1.0,2018-04-02
AGXYRGLNQ2ENZ55J4NY4MWWU6X4A,B01EIHQP1I,5.0,2020-03-07
AHUIC5IYD76KDJQIHSAANSA35O7Q,B00XQF6PEQ,4.0,2020-03-17
AHFWBXKQGOGMBN6BKAHSVEBSZDDA,B005ZQ47AS,1.0,2015-03-01
AEGSFSOSFSMLY5I2XXAJ2R4NRITA,B00KNNSKV0,5.0,2016-04-12
AFW4Q5GLFGL756ZWGPWCER3NMG7Q,B000B868NE,5.0,2012-12-11
AE4ORMJG32J3C2DPGGMHFN4RADUQ,B000BLC092,1.0,2016-01-22
AGE5XVDO2N2PQM26HET5KMCHQ7HA,B007KDYOMU,3.0,2020-04-26
AECWQ5VD6S6PYFFQ7OH6WPPY6BZA,B0013P6ZJQ,5.0,2013-02-09
AE5C3QLMMCYCZVMQCCWJS6BJHIJA,B0013P6ZJQ,5.0,2012-06-04
AGXN2NKITUSIDM32GIZ3TUJYWV6Q,B00RJPXB6Y,5.0,2017-12-06
AF74SBNCQAPK5H7TWVVXM5TL3BUQ,B008MIRQUE,5.0,2018-11-11
AES4OBQFT6OCDL65TXTAGUOQSKZQ,B000B868NE,1.0,2019-11-25
