itemId,title,price
B0000223UV,"Gorilla Original, Pegamento Impermeable De Poliuretano, Botella De 8 Onzas, Marrón",$352.60
B0000224J0,DEWALT DW8001 Z Disco Abrasivo de Corte 14 x 1 pulgada,$307.25
B00002N6FE,"3M Papel de Lija Granate, Assorted Grit, Null",
B00002NC3K,"Rubbermaid Commercial, Tapa, Gris, 32G",$299.00
B00002ND44,Shop-Vac 9068400 Varitas de extensión de 2.5 Pulgadas por 40 Pulgadas,"$1,440.75"
B00002ND4I,"Shop-Vac 9067200 10-14-Gallon High Efficiency Disposable Collection Filter Bag, 2-Pack",
B00004RH8J,DEWALT DW4528 4-1/2-Inch by 1/8-Inch by 7/8-Inch Concrete/Masonry Cutting Wheel (25-Pack),$122.78
B00004RHKX,Shop-Vac 8018200 2.5-Inch Deluxe Pick-Up Accessory Kit,
B00004T7W2,General Tools & Instruments 1261-4 1/2-Inch Grommet Refill with 24 Grommets,$192.60
B00004THYY,"Irwin Tools UniBit 3/16-Inch to 1/2-Inch Step-Drill Bit, 1/4-Inch Shank (10232)",$448.36
B00004UDN8,"STANLEY 93-301 - Asa de transporte para panel amarillo (35,5 cm)",
B00004UDJX,Dremel 9933 Fresa de Carburo de Tungsteno 5/16 Pulgadas para Materiales Blandos,
B00004WLKB,"Gardner Bender GSW - Interruptor eléctrico basculante, ON - OFF (Screw Terminal), (SPST) - 3 A/240 V AC, 6 A/120 V AC, screw terminal",$216.09
B00004XSAE,Westek SLC4CG - Sensor automático de fotocélulas de control gris,$139.86
B00004XSFM,"InterDesign 76400 Orbinni - Gancho para Puerta (Cromo), Valet, Cromado, 4 Slots for Clothing Hangers, 1",$182.67
B00004Y75M,"Eagle UI-50-FS lata de seguridad de gasolina de acero galvanizado rojo, tipo I, con embudo, capacidad de 5 galones, altura de 13.5 pulgadas, diámetro de 12.5 pulgadas","$1,989.40"
B00004YMDG,"DEWALT cepillo para polvo de alambre, anudado, 1-pulgada (DW4902)",$251.54
B00004YOKC,"Move-It 9299 6-Inch Steel Tri-Dolly, 200-lb Load Capacity",$202.26
B00004YYD2,Dico 541-786-21/2 Nyalox Cup Brush 21/2-Inch Blue 240 Grit,
B00004YZQS,Senco A301500 15-Gauge by 1-1/2-Inch Bright Basic Finish Nails by Senco,"$1,066.25"
B00004Z2HC,"Arrow Fastener 215 5/16"" JT21 grapas",$233.37
B00004Z2HN,"Arrow Fastener 256 Genuine T25 3/8-Inch Staples, 1,000-Pack",$254.68
