userId,itemId,rate,date
AE5GXXHAX3TWGYV7DSWKYRNGR5GQ,B01AUI4VVA,5.0,2019-01-01
AHVINSCDXLKCZKTBIUTDYYLQ7GKQ,B00445SSDS,5.0,2017-06-01
AGNYCSWXVEYB7ZN2R6UU4A42EVQQ,B000F4UP6A,5.0,2018-08-26
AEPCG2ITLNOIMB7NLIRCRUJF3MAQ,B000F4OYEE,5.0,2020-02-09
AG7AC63MJI3F462HX7Q26C72FRFQ,B004I1DT1O,5.0,2020-01-03
AFBMQKRJJJYE3W5PIJPK2NRGUWWQ,B004I19XB4,5.0,2019-01-29
AGJ6WGSYWSOVVW32HUCRLPFXBYWQ,B000I3PUE0,5.0,2019-02-04
AGLWVYE2GXIZ3PE6HMS4ZW4YUYJQ,B00C7Z9ZAW,1.0,2016-04-07
AFGAF4LCUPNEJMPKOJKCRJB7PLJA,B00TI3JUWO,5.0,2016-05-20
AFGAJ6DXRV2DYSSKMKCPRHKFWUPQ,B004I1G1LO,5.0,2019-01-05
AHKOGNKUSZ2Y3LU2QOZ5TDAE2KCA,B000I3PUE0,5.0,2019-10-18
AEJAFTCDQG5WDM7CRZVMLJKVSPDA,B001C5I4BO,5.0,2015-12-29
AHMPHVEAAJZD2UWGYMGXB3VGDJNA,B00004WCCL,5.0,2020-10-16
AEZIQQMKMT6ZFW3ZUCSSHKQL23IQ,B00S54E1AI,5.0,2016-07-06
AGW54BXSDOJ2NK3MEXZRLP7Z5A4A,B004I1DT1O,5.0,2020-09-03
AF336ZQGDJN5ALIDH7FAUMNBSE7Q,B004I1G1LO,5.0,2019-07-03
AEJHXWUF7MRYUW6VI3N5HISVETAQ,B004M1BO3U,4.0,2014-05-27
AE7HJBCOSPAND5QDMQTEHMRU5U3A,B000I3PUE0,4.0,2020-09-08
AGISRSHQBREHUKUWPEGAGEFMVXSA,B0011E1FU8,4.0,2018-10-27
AHMB3QPC7PVLQVEOOFE5A7DW5VVQ,B0012E0REM,5.0,2013-12-17
AEQYHPSEKJU53F5O44LA2JJIJBOA,B004I19XB4,5.0,2018-12-28
AH4KJT6PX2ES6WDCW3CGIE557I6Q,B00445SSDS,5.0,2014-03-31
AG2SROUHNKWW4EFF4GB4OJSDPMGA,B004D936NM,5.0,2016-12-02
AGYULUOYH6GEMI2AKYD45TDY4MIA,B004I19XB4,5.0,2018-12-15
AHCRXV3WUSK5MSY7XJ4JGF3SEP6Q,B004D936NM,5.0,2014-12-27
AGFENEXB3GBAM2VMO77CFAR742EQ,B004I1G1LO,5.0,2018-05-24
AH5EYIQLCJOWZASX5B5I23CAWY7Q,B00CJ5EO2E,5.0,2016-04-26
AEY75IL3DVF3DR2UVCS3D3IAGL3A,B00445SSDS,5.0,2016-08-17
AHSW32ZGEXNRW2RPLD52Z3BAST6Q,B004I1DT1O,5.0,2019-01-05
AHDWUFBTU4XYSGXDUGKRUQNCU3AA,B008MIRQUE,5.0,2012-11-30
AFOPYUPTMLZBFR4YWFNGKCYAYM2A,B000QZ1LZM,5.0,2017-02-22
AFSX7LCNU6KWXMIVU2O7QGNGHAMA,B004I19XB4,4.0,2019-12-01
AHZENKD3W7J6X4M3SCVAIBYCQSOA,B01ABXS42Q,5.0,2019-07-30
AGW54BXSDOJ2NK3MEXZRLP7Z5A4A,B0011E8DG2,5.0,2020-09-03
AHLG7RGWZWM6CGEAG4M4IMHXBC5Q,B004460S1W,5.0,2017-01-24
AGGTK5OLDQJFFO6E4ZVZJAXHW6VA,B004I1DT1O,1.0,2014-02-25
AG2DFIJ3FI6S5WFYS2DXPHU4JMOA,B017JCM1WG,5.0,2016-03-27
AHKOGNKUSZ2Y3LU2QOZ5TDAE2KCA,B017JCM1WG,5.0,2019-10-18
AGBMS3VKFGN7YQH3YI5RO23IYQKA,B009EU5ZM0,5.0,2016-09-21
AHE75EXAJ7KZSHCKJKHU4OZ72AZQ,B000QZ1LZM,4.0,2019-09-05
AFC2NLKFJYH5LLHM2MXDTP3H6CHA,B0011E1FU8,5.0,2019-03-20
AEOXDN3WSOHPLF6YYV3ZKHWIZO7A,B001EHAZGW,5.0,2019-12-14
AGZ5DOK2UMLPNWFOOFQFUTJXVLFA,B004I1DTIM,5.0,2019-09-05
AG26ZR735X3YBCASCAQ6BVAYPCFA,B004I1DT1O,5.0,2019-04-02
AGL7S2EM3WTHKW3EYB2XK77Q3RGA,B004QEZ2U4,4.0,2014-07-18
AEKAFNBNKHXHZPVBNF2QRHCLCQ6A,B01BD8NFKY,5.0,2018-10-09
AF4XVDBD7T62CCFR6BQ5NKUOGBQQ,B01ABXS42Q,5.0,2017-10-24
AHTQJ6BTMN7PDTH4E2I5ZRUOHLBA,B004I1DT1O,4.0,2019-01-11
AHBBRWQG7LG57O2EQUJ2JEAAF7VA,B00445SSDS,5.0,2017-10-21
AET7EU7EVFHC4ANNX72X3XPIYS7A,B004I1G1LO,5.0,2017-12-12
AGAKIME3KLYU5NNLYRPWFGXAQABQ,B012APXT96,5.0,2019-08-04
AEY75IL3DVF3DR2UVCS3D3IAGL3A,B000F4UP6A,5.0,2016-08-17
AFEWA5KQVSH624WKDIJB7LJAGH2Q,B003V71R6A,5.0,2018-01-18
AGPS4DV3YMVMK7HG7Z3DRLPY5FUQ,B000QZ1LZM,5.0,2014-05-03
AEQ7I7JISY7XPPP6KQY5T7K7NPAA,B004I1DT1O,4.0,2019-10-18
AFCVHVVCTSZ43UEJBGJE6NYAROUQ,B00IIDY49E,5.0,2018-12-30
AGW54BXSDOJ2NK3MEXZRLP7Z5A4A,B004I1DTIM,5.0,2020-09-03
AFZDULKJQLOGHFSZFYPNNVEQHLCQ,B004M1BO3U,5.0,2017-06-25
AH4U6LNVIXMYKIB2TT7G55UU4AMQ,B004D936NM,5.0,2012-10-17
AG3MN743D6226B57LBLAXPY5X47Q,B00EUGCT22,5.0,2018-08-21
AFZ6WIBKDXMXAWJYNAMIBYMKY66Q,B0011E1FU8,3.0,2016-01-01
AGYGNLBSTDFEJSAQPYKZNTLL3EKQ,B000F4UP6A,5.0,2016-05-28
